2 25 5   1 1 1 0 0 0
2 26 5   0 0 0 0 0 0
2 27 5   1 0 0 0 0 0
2 28 5   1 0 0 0 1 0
2 29 5   1 1 1 1 1 0
2 30 5   1 0 1 0 0 0
2 31 5   1 0 0 0 0 0
2 32 5   1 1 0 1 0 1
2 33 2.500000e+00   1 1 0 0 0 0
2 34 2.500000e+00   1 1 0 0 0 1
2 35 2.500000e+00   1 0 0 1 0 0
2 36 2.500000e+00   1 1 1 1 0 0
2 37 2.500000e+00   1 1 1 1 1 0
2 38 2.500000e+00   1 1 0 0 0 0
2 39 2.500000e+00   0 0 0 0 0 0
2 40 2.500000e+00   1 1 0 0 0 0
2 41 2.500000e+00   1 1 1 0 0 0
2 42 2.500000e+00   1 1 1 1 0 1
2 43 2.500000e+00   1 1 1 1 0 1
2 44 2.500000e+00   1 1 1 1 0 0
2 45 2.500000e+00   1 1 1 1 1 0
2 46 2.500000e+00   1 1 1 1 1 0
2 47 2.500000e+00   1 0 1 1 0 0
2 48 2.500000e+00   0 0 0 0 0 0
3 1 2.500000e+00   1 1 1 0 0 1
3 2 2.500000e+00   1 1 1 0 0 1
3 3 2.500000e+00   1 0 1 0 0 0
3 4 2.500000e+00   0 0 0 0 0 0
3 5 2.500000e+00   1 0 0 0 0 0
3 6 2.500000e+00   1 0 0 0 0 0
3 7 2.500000e+00   1 1 1 0 0 1
3 8 2.500000e+00   1 1 1 1 1 1
3 9 2.500000e+00   1 0 0 0 0 0
3 10 2.500000e+00   0 0 0 0 0 0
3 11 2.500000e+00   1 1 1 1 0 1
3 12 2.500000e+00   1 1 0 0 1 1
3 13 2.500000e+00   0 1 0 0 0 0
3 14 2.500000e+00   1 1 0 0 1 1
3 15 2.500000e+00   1 1 0 0 1 1
3 16 2.500000e+00   1 1 1 1 1 1
3 17 1   1 1 1 0 0 1
3 18 1   0 0 1 0 0 0
3 19 1   1 1 1 0 0 1
3 20 1   1 0 0 0 0 0
3 21 1   1 1 0 0 0 1
3 22 1   1 0 1 1 0 0
3 23 1   1 0 0 1 0 0
3 24 1   1 0 0 0 0 1
3 25 1   1 1 1 0 0 1
3 26 1   1 1 0 0 0 1
3 27 1   1 0 1 0 1 1
3 28 1   1 1 0 0 0 1
3 29 1   0 0 0 0 0 0
3 30 1   1 0 0 0 0 1
3 31 1   1 0 0 1 0 0
3 32 1   1 1 1 1 0 0
3 33 5   1 1 1 1 0 1
3 34 5   1 0 0 0 1 1
3 35 5   1 1 1 0 0 0
3 36 5   1 1 1 0 1 1
3 37 5   1 1 1 1 0 1
3 38 5   1 0 1 0 1 0
3 39 5   1 0 1 1 1 1
3 40 5   1 1 1 1 1 1
3 41 5   1 1 1 0 1 0
3 42 5   1 1 0 0 0 0
3 43 5   1 1 1 1 1 1
3 44 5   1 1 1 1 1 1
3 45 5   1 1 0 1 1 0
3 46 5   1 1 1 1 0 0
3 47 5   1 1 1 1 1 1
3 48 5   1 1 1 1 1 1
4 1 2.500000e+00   1 0 0 0 0 0
4 2 2.500000e+00   0 1 0 0 0 0
4 3 2.500000e+00   1 0 0 0 1 0
4 4 2.500000e+00   1 1 1 0 0 0
4 5 2.500000e+00   1 0 0 0 0 0
4 6 2.500000e+00   1 1 0 1 0 0
4 7 2.500000e+00   1 1 0 0 0 0
