sub block trial ctime x1 y1 err1 rt1 x2 y2 err2 rt2 x3 y3 err3 rt3 x4 y4 err4 rt4
1 4 13 0.833333 -14 12 26 1.082755 -27 -58 -31 1.116225 41 79 38 0.583098 -17 -26 -9 0.799677
1 4 14 0.25 -30 -67 -37 1.48263 -65 38 103 0.349871 59 176 117 0.383179 -22 39 61 0.433158
1 4 15 0.966667 67 92 25 1.216044 -58 -54 4 1.032916 16 60 44 1.349442 -17 -169 -152 0.916274
1 4 16 0.516667 21 71 50 1.216039 -4 -4 0 1.28286 -25 -85 -60 0.749698 -20 81 101 1.499396
1 4 17 0.916667 45 61 16 0.549639 -35 -51 -16 1.549374 34 61 27 0.799686 58 119 61 0.599757
1 4 18 0.116667 9 -12 -21 0.916149 60 92 32 0.516459 65 -179 116 0.516456 67 98 31 1.832593
1 4 19 0.6 -17 -43 -26 0.532987 -47 -21 26 1.082905 7 15 8 1.882572 -37 11 48 0.782993
1 4 20 0.566667 -19 -36 -17 0.882848 -51 -114 -63 0.649743 -28 -61 -33 0.516462 -55 -7 48 0.583107
1 4 21 0.183333 45 99 54 0.716251 66 52 -14 0.98294 -33 -152 -119 0.43316 55 22 -33 1.032916
1 4 22 0.05 23 9 -14 1.282692 -44 102 146 0.283245 -20 -152 -132 0.249902 -13 23 36 0.299927
1 4 23 0.133333 -61 -74 -13 0.632939 -61 2 63 0.299882 -70 95 165 0.333179 44 -133 -177 0.333221
1 4 24 0.2 -28 -35 -7 0.799545 -27 38 65 0.366537 -7 -157 -150 1.732635 -64 -60 4 0.699702
1 4 25 0.066667 -58 -59 -1 0.566301 36 38 2 0.333217 -40 170 -150 0.38318 55 -55 -110 0.466461
1 4 26 0.466667 -14 31 45 1.36602 -70 -80 -10 0.832998 4 2 -2 0.716378 49 46 -3 1.082912
1 4 27 0.6 -50 3 53 0.549721 -9 52 61 0.966279 20 -62 -82 1.066236 62 54 -8 0.932931
1 4 28 0.35 27 92 65 0.516331 -48 -53 -5 0.449811 -65 26 91 1.149528 -22 -174 -152 0.499813
1 4 29 0.7 2 29 27 0.749567 28 78 50 0.533106 -60 -37 23 0.999596 69 66 -3 0.71636
1 4 30 0.466667 26 -8 -34 0.383044 -36 -100 -64 0.399834 -65 72 137 0.133293 -16 105 121 0.216588
1 5 1 0.416667 32 -40 -72 1.449297 62 102 40 1.066236 -46 -34 12 0.766358 39 94 55 1.049606
1 5 2 0.566667 -66 78 144 0.649612 -26 -54 -28 0.733038 50 63 13 0.916297 7 21 14 0.566437
1 5 3 0.35 -15 -36 -21 1.166095 9 7 -2 0.716376 -54 -53 1 1.249495 -33 57 90 0.716373
1 5 4 0.3 -19 12 31 0.566304 9 -171 180 0.683056 54 67 13 1.665996 9 -75 -84 0.882974
1 5 5 0.85 -66 -58 8 0.516338 64 90 26 0.116602 -21 109 130 0.233254 -33 -122 -89 0.29988
1 5 6 0.95 -44 177 -139 0.549641 -8 -4 4 0.932957 -65 -77 -12 0.733044 -34 -83 -49 0.832975
1 5 7 0.633333 43 66 23 0.749563 31 3 -28 0.799677 -39 -69 -30 0.982936 4 -48 -52 0.999593
1 5 8 0.7 26 6 -20 0.882847 63 -179 118 0.38313 21 82 61 0.466477 55 13 -42 0.449807
1 5 9 0.183333 -9 14 23 0.682927 15 75 60 0.283217 66 -152 142 0.283224 55 167 112 0.049982
1 5 10 0.266667 -35 -1 34 0.466334 15 73 58 0.399837 21 9 -12 0.466478 1 47 46 0.816342
1 5 11 0.35 69 52 -17 1.082767 -65 -63 2 0.949617 -64 5 69 0.716322 64 76 12 0.583096
1 5 12 0.366667 -63 -53 10 0.599642 -21 -5 16 0.916291 -52 -77 -25 0.783018 64 94 30 0.749703
1 5 13 0.5 -26 0 26 0.866198 37 95 58 0.766359 -1 4 5 0.716382 70 105 35 1.182873
1 5 14 0.483333 -55 -19 36 14.643939 -52 91 143 0.116614 59 -27 -86 0.566436 67 84 17 0.333202
1 5 15 0.65 67 76 9 1.099425 3 -53 -56 2.015853 41 -35 -76 0.716378 -6 56 62 1.349457
1 5 16 0.483333 -4 -19 -15 1.066107 26 71 45 1.316112 -53 -67 -14 0.799699 66 9 -57 0.799676
1 5 17 0.583333 32 43 11 1.032813 57 -178 125 0.616419 19 -4 -23 1.432753 5 -89 -94 0.699707
1 5 18 0.35 7 -68 -75 1.815813 63 63 0 0.316539 -50 -2 48 0.333223 -21 -106 -85 0.366507
1 5 19 0.166667 -4 -17 -13 0.799541 69 81 12 2.165793 46 70 24 0.683041 -52 -60 -8 0.733054
1 5 20 0.2 24 57 33 0.766229 32 -42 -74 0.383177 -17 88 105 0.449803 -66 -2 64 0.499797
1 5 21 0.933333 -27 17 44 1.066151 40 -38 -78 0.333203 -28 60 88 0.31654 4 -9 -13 0.399839
1 5 22 0.716667 7 -30 -37 0.849516 21 -88 -109 0.782999 -66 -88 -22 0.633097 64 67 3 0.916299
1 5 23 0.283333 -36 -42 -6 1.216043 31 81 50 0.43316 38 77 39 0.849638 -67 -53 14 0.733025
1 5 24 0.8 -46 -9 37 1.082761 -5 62 67 0.333199 1 16 15 0.366521 -33 -13 20 0.849651
1 5 25 0.433333 -39 -169 -130 1.599234 39 -24 -63 0.699703 -5 75 80 0.349891 -49 -12 37 0.549782
1 5 26 0.583333 33 -2 -35 1.016115 -42 41 83 0.882959 29 -46 -75 0.533115 -54 116 170 0.46648
1 5 27 0.15 -10 0 10 1.632546 28 71 43 0.66642 -38 36 74 1.749302 -31 78 109 0.616437
1 5 28 0.9 11 64 53 1.149378 37 73 36 0.932978 -14 -47 -33 0.88298 -25 93 118 1.132877
1 5 29 0.016667 -59 -3 56 2.2656 42 88 46 0.616417 61 -70 -131 0.699701 61 103 42 1.082919
1 5 30 0.1 14 84 70 1.032817 34 -11 -45 0.116618 14 -28 -42 0.816332 51 -7 -58 1.016257
1 6 1 0.9 41 -71 -112 2.248952 -55 6 61 0.399845 -64 97 161 0.36656 25 -1 -26 0.782998
1 6 2 0.7 14 20 6 23.690335 6 9 3 8.67983 -49 -39 10 13.244668 28 33 5 1.532713
1 6 3 1 -27 -16 11 0.782884 -27 -38 -11 0.749688 -3 9 12 1.249498 39 75 36 0.649748
1 6 4 0.733333 26 6 -20 0.816178 -67 69 136 0.64974 22 55 33 1.266158 54 41 -13 0.566437
1 6 5 0.566667 -25 95 120 1.599222 1 -25 -26 0.466477 17 15 -2 0.399845 -39 157 -164 0.833
1 6 6 0.4 33 5 -28 0.449681 -44 57 101 0.649681 0 -110 -110 0.483137 -7 88 95 0.449825
1 6 7 0.45 67 -13 -80 0.716266 -32 75 107 1.466044 -45 56 101 0.866339 61 79 18 0.749701
1 6 8 0.416667 33 63 30 0.799551 2 4 2 1.249498 53 71 18 0.466478 38 -1 -39 0.583097
1 6 9 0.65 69 83 14 0.716266 -25 -22 3 0.3165 58 85 27 0.316536 -5 -7 -2 0.299883
1 6 10 0.733333 -50 16 66 0.832881 42 57 15 0.783019 -11 -72 -61 0.649756 -15 1 16 0.666407
1 6 11 0.25 -37 -42 -5 0.532988 -47 -51 -4 1.166196 -56 159 -145 0.566426 34 -18 -52 0.583127
1 6 12 0.4 -4 26 30 0.46633 -52 -60 -8 0.349882 -12 57 69 0.099962 -25 74 99 0.199919
1 6 13 0.616667 -56 -4 52 0.866187 -12 78 90 0.266558 0 -6 -6 0.299883 15 -73 -88 0.749724
1 6 14 0.583333 -37 -62 -25 0.433017 -37 -13 24 0.633085 35 52 17 1.216177 -11 -5 6 0.716384
1 6 15 0.183333 -47 -35 12 0.616311 3 48 45 0.366517 -56 -21 35 0.416516 4 9 5 0.516503
1 6 16 0.7 7 53 46 1.649202 -16 -20 -4 0.683059 29 -52 -81 2.399022 -66 -75 -9 0.899638
1 6 17 0.466667 27 48 21 0.716233 -19 -49 -30 0.733035 -29 -21 8 0.699696 70 57 -13 0.733082
1 6 18 0.883333 -48 -60 -12 0.433026 -41 -28 13 0.433145 -61 30 91 0.566436 28 84 56 0.533154
1 6 19 0.366667 35 46 11 0.416396 62 41 -21 0.366505 -15 -25 -10 0.832995 -62 11 73 0.499798
1 6 20 0.2 17 22 5 0.466346 -35 84 119 0.349858 12 -10 -22 0.34986 -70 -154 -84 0.333208
1 6 21 0.9 0 -4 -4 0.666266 -57 -51 6 0.699754 -21 23 44 0.932957 -7 84 91 0.633086
1 6 22 1 -45 -22 23 0.616287 -35 -50 -15 0.766347 -66 45 111 0.4998 -66 -46 20 0.433126
1 6 23 0.816667 64 28 -36 0.549648 46 22 -24 0.616403 27 136 109 0.36653 -9 -57 -48 0.39982
1 6 24 0.266667 52 -57 -109 0.349747 36 49 13 0.099964 49 70 21 0.283216 -5 80 85 0.383175
1 6 25 0.7 19 -44 -63 0.716235 -17 36 53 0.932959 33 -57 -90 1.132874 59 -54 -113 1.082895
1 6 26 0.2 9 -8 -17 0.966145 48 82 34 0.749702 55 70 15 1.749294 26 -1 -27 0.633078
1 6 27 0.65 -66 -67 -1 0.932825 -39 -85 -46 1.132861 1 22 21 1.016257 48 46 -2 0.799678
1 6 28 0.3 1 26 25 0.566309 16 30 14 0.899638 -14 -29 -15 0.766375 -15 -1 14 0.566437
1 6 29 0.9 10 -10 -20 0.549679 -68 -94 -26 0.599755 11 33 22 0.74969 8 -10 -18 1.116217
1 6 30 0.016667 68 -11 -79 0.59967 -27 69 96 0.216573 -54 -96 -42 0.233237 14 81 67 0.233244
2 1 1 0.833333 25 34 9 1.349321 -49 -53 -4 0.766371 42 35 -7 1.46608 -30 -34 -4 1.066239
2 1 2 0.783333 -13 -32 -19 1.832507 68 11 -57 1.749292 -69 -23 46 0.932963 -9 -27 -18 0.716376
2 1 3 0.1 50 24 -26 1.782471 37 32 -5 0.916276 -37 -61 -24 2.232459 15 54 39 1.2495
2 1 4 0.883333 31 33 2 1.915789 22 68 46 1.73264 52 -57 -109 1.082897 -13 66 79 0.916297
2 1 5 0.333333 -39 -34 5 1.8658 45 35 -10 0.832998 17 -48 -65 1.982541 15 54 39 1.31614
2 1 6 0.7 55 39 -16 1.665866 -15 48 63 1.299494 29 21 -8 2.582298 -38 -45 -7 0.882985
2 1 7 0.366667 -67 -74 -7 2.099029 8 -8 -16 1.249508 21 12 -9 1.965886 -18 -32 -14 1.349448
2 1 8 0.35 -40 -34 6 1.932452 -22 -35 -13 1.532723 23 12 -11 1.349466 53 66 13 0.932946
2 1 9 0.183333 67 65 -2 2.215661 36 60 24 1.449419 49 -21 -70 3.498602 68 0 -68 2.182458
2 1 10 0.216667 61 55 -6 1.932448 30 34 4 1.965879 60 72 12 1.416101 -53 -40 13 1.316152
2 1 11 0.766667 -24 -20 4 1.799147 -8 -26 -18 1.366119 26 51 25 1.116205 37 35 -2 2.18245
2 1 12 0.266667 26 18 -8 1.832469 -42 -28 14 0.766343 -20 -14 6 1.366171 23 61 38 0.932955
2 1 13 0.766667 -50 -29 21 1.43265 -57 -57 0 1.282799 27 28 1 2.74892 4 1 -3 1.149523
2 1 14 0.133333 8 27 19 2.082371 -38 -29 9 1.016257 -29 12 41 1.499348 42 18 -24 1.082891
2 1 15 0.116667 9 -1 -10 1.799195 2 10 8 0.916308 -13 -27 -14 0.816328 -12 -16 -4 1.416117
2 1 16 0.85 6 14 8 1.56591 22 16 -6 1.93256 59 -19 -78 4.081696 13 21 8 1.715982
