vp	in1w1	in1w2	in1w3	in1w4	in1w5	in1w6	in1r1	in1r2	in1r3	in1r4	in1r5	in1r6	in2w1	in2w2	in2w3	in2w4	in2w5	in2w6	in2r1	in2r2	in2r3	in2r4	in2r5	in2r6	sp1w1	sp1w2	sp1w3	sp1w4	sp1w5	sp1w6	sp1r1	sp1r2	sp1r3	sp1r4	sp1r5	sp1r6	sp2w1	sp2w2	sp2w3	sp2w4	sp2w5	sp2w6	sp2r1	sp2r2	sp2r3	sp2r4	sp2r5	sp2r6	out1w1	out1w2	out1w3	out1w4	out1w5	out1w6	out1r1	out1r2	out1r3	out1r4	out1r5	out1r6	out2w1	out2w2	out2w3	out2w4	out2w5	out2w6	out2r1	out2r2	out2r3	out2r4	out2r5	out2r6	N_BREAK
11	.840909090909091	.6875	.9	.9	.882352941176471	.941176470588235	1046.22222222222	1207.40909090909	1115.75	1255.11111111111	1446.56666666667	1047.28125	1	.977272727272727	.976744186046512	.944444444444444	.976190476190476	1	878.742857142857	627.860465116279	645.404761904762	685.470588235294	725.219512195122	566.795454545455	.837209302325581	.939393939393939	.870967741935484	.875	.815789473684211	.846153846153846	1201.63888888889	1092.90322580645	1166.40740740741	1117.71428571429	1186.87096774194	1310.71875	1	.977272727272727	.976744186046512	.944444444444444	.976190476190476	1	878.742857142857	627.860465116279	645.404761904762	685.470588235294	725.219512195122	566.795454545455	.944444444444444	.891891891891892	.82051282051282	.810810810810811	.85	.857142857142857	1360.48484848485	1193.78787878788	1220.78125	1005.56666666667	1191.47058823529	1081.83333333333	1	.977272727272727	.976744186046512	.944444444444444	.976190476190476	1	878.742857142857	627.860465116279	645.404761904762	685.470588235294	725.219512195122	566.795454545455	156
12	.844444444444444	.744186046511628	.785714285714286	.692307692307692	.575	.609756097560976	1276.44736842105	1328.78125	1454.54545454545	1581.81481481481	1165.95652173913	1234.52	.947368421052632	.878787878787879	.888888888888889	.783783783783784	.540540540540541	.609756097560976	961.333333333333	789.172413793103	730.15625	871.965517241379	782.25	817.8	.767441860465116	.729166666666667	.720930232558139	.657894736842105	.648648648648649	.731707317073171	1355.33333333333	1293.42857142857	1381.29032258065	1191.8	1621.33333333333	1263.06666666667	.947368421052632	.878787878787879	.888888888888889	.783783783783784	.540540540540541	.609756097560976	961.333333333333	789.172413793103	730.15625	871.965517241379	782.25	817.8	.880952380952381	.642857142857143	.75	.673913043478261	.636363636363636	.674418604651163	1484.56756756757	1387.2962962963	1240.48484848485	1223.12903225806	1337.90476190476	1382.06896551724	.947368421052632	.878787878787879	.888888888888889	.783783783783784	.540540540540541	.609756097560976	961.333333333333	789.172413793103	730.15625	871.965517241379	782.25	817.8	156
13	.675675675675676	.65	.763157894736842	.71875	.71875	.842105263157895	1163.28	1047.88461538462	1125.89655172414	1173.69565217391	977.95652173913	1015.40625	.951219512195122	.674418604651163	.666666666666667	.697674418604651	.833333333333333	.780487804878049	817.076923076923	823.724137931035	841.115384615385	854.066666666667	883.828571428571	710.1875	.694444444444444	.818181818181818	.725	.846153846153846	.692307692307692	.566666666666667	845.52	1027.03703703704	1109.20689655172	1185	1106.25925925926	1232.35294117647	.951219512195122	.674418604651163	.666666666666667	.697674418604651	.833333333333333	.780487804878049	817.076923076923	823.724137931035	841.115384615385	854.066666666667	883.828571428571	710.1875	.763157894736842	.789473684210526	.694444444444444	.666666666666667	.794117647058823	.658536585365854	1291.10344827586	1139.4	923.48	1178.25	1056.7037037037	894.518518518518	.951219512195122	.674418604651163	.666666666666667	.697674418604651	.833333333333333	.780487804878049	817.076923076923	823.724137931035	841.115384615385	854.066666666667	883.828571428571	710.1875	156
14	.954545454545455	.846153846153846	.914285714285714	.948717948717949	.791666666666667	.878048780487805	875.761904761905	1028.66666666667	950.96875	1019.45945945946	1143.63157894737	1028.88888888889	.948717948717949	.944444444444444	.947368421052632	.923076923076923	.857142857142857	.878787878787879	548.081081081081	521.735294117647	583.555555555556	679.027777777778	610.3	630.862068965517	.837209302325581	.880952380952381	.902439024390244	.948717948717949	.85	.902439024390244	1051.22222222222	1015.64864864865	1000.13513513514	1013.37837837838	1001.97058823529	956.405405405405	.948717948717949	.944444444444444	.947368421052632	.923076923076923	.857142857142857	.878787878787879	548.081081081081	521.735294117647	583.555555555556	679.027777777778	610.3	630.862068965517	1	.894736842105263	.909090909090909	.9	.904761904761905	.707317073170732	1145.78048780488	929	959.125	1044.61111111111	990.921052631579	937.51724137931	.948717948717949	.944444444444444	.947368421052632	.923076923076923	.857142857142857	.878787878787879	548.081081081081	521.735294117647	583.555555555556	679.027777777778	610.3	630.862068965517	156
15	.833333333333333	.666666666666667	.733333333333333	.769230769230769	.647058823529412	.733333333333333	781.866666666667	875.4375	954.636363636364	933.5	806.727272727273	928.090909090909	.951219512195122	.894736842105263	.923076923076923	.571428571428571	.55	.692307692307692	528.307692307692	498.382352941176	471.75	683.708333333333	637.454545454546	619.888888888889	.6	.692307692307692	.772727272727273	.771428571428571	.757575757575758	.766666666666667	778.333333333333	998.333333333333	933.823529411765	890.222222222222	779.84	856.913043478261	.951219512195122	.894736842105263	.923076923076923	.571428571428571	.55	.692307692307692	528.307692307692	498.382352941176	471.75	683.708333333333	637.454545454546	619.888888888889	.947368421052632	.696969696969697	.75	.709677419354839	.612903225806452	.65625	906.444444444444	868.478260869565	843.380952380952	922.181818181818	687.052631578947	998.857142857143	.951219512195122	.894736842105263	.923076923076923	.571428571428571	.55	.692307692307692	528.307692307692	498.382352941176	471.75	683.708333333333	637.454545454546	619.888888888889	156
16	.880952380952381	.717948717948718	.736842105263158	.621621621621622	.486486486486487	.704545454545455	731	871.928571428571	825.285714285714	1100.91304347826	1001	943.967741935484	.923076923076923	.882352941176471	.710526315789474	.605263157894737	.775510204081633	.787878787878788	580.805555555556	560.433333333333	494.777777777778	617.739130434783	744.210526315789	481.076923076923	.675675675675676	.75	.722222222222222	.621621621621622	.696969696969697	.69047619047619	920	858.512820512821	771.461538461538	993.565217391304	946.260869565217	897.068965517241	.923076923076923	.882352941176471	.710526315789474	.605263157894737	.775510204081633	.787878787878788	580.805555555556	560.433333333333	494.777777777778	617.739130434783	744.210526315789	481.076923076923	.725	.785714285714286	.67741935483871	.571428571428571	.717948717948718	.722222222222222	933.103448275862	854.969696969697	913.857142857143	1007.60714285714	860.964285714286	784.076923076923	.923076923076923	.882352941176471	.710526315789474	.605263157894737	.775510204081633	.787878787878788	580.805555555556	560.433333333333	494.777777777778	617.739130434783	744.210526315789	481.076923076923	156
17	.742857142857143	.7	.705882352941177	.725	.714285714285714	.793103448275862	832.153846153846	903	948.75	956.758620689655	884.6	875.434782608696	1	.955555555555556	.85	.836734693877551	.815789473684211	.825	600.731707317073	618.953488372093	618.323529411765	659.048780487805	702.193548387097	445	.675	.741935483870968	.605263157894737	.771428571428571	.785714285714286	.823529411764706	895.851851851852	959.130434782609	915.95652173913	897.259259259259	838.5	902.678571428571	1	.955555555555556	.85	.836734693877551	.815789473684211	.825	600.731707317073	618.953488372093	618.323529411765	659.048780487805	702.193548387097	445	.675675675675676	.842105263157895	.727272727272727	.709677419354839	.771428571428571	.625	1011.08	924.0625	865.875	886.636363636364	946.111111111111	729.2	1	.955555555555556	.85	.836734693877551	.815789473684211	.825	600.731707317073	618.953488372093	618.323529411765	659.048780487805	702.193548387097	445	156
18	.755555555555556	.75609756097561	.785714285714286	.82051282051282	.86	.833333333333333	723.352941176471	740.096774193548	711.909090909091	633.5625	643.116279069767	687.4	.909090909090909	.878787878787879	.9375	.804878048780488	.894736842105263	.945945945945946	563	498.965517241379	501.766666666667	594.939393939394	549.411764705882	460.571428571429	.769230769230769	.6875	.837209302325581	.75	.902439024390244	.894736842105263	695.366666666667	694.606060606061	638.277777777778	722.757575757576	653.459459459459	729.117647058824	.909090909090909	.878787878787879	.9375	.804878048780488	.894736842105263	.945945945945946	563	498.965517241379	501.766666666667	594.939393939394	549.411764705882	460.571428571429	.871794871794872	.714285714285714	.815789473684211	.909090909090909	.780487804878049	.73469387755102	717.647058823529	648.7	642	691.7	658.78125	751.888888888889	.909090909090909	.878787878787879	.9375	.804878048780488	.894736842105263	.945945945945946	563	498.965517241379	501.766666666667	594.939393939394	549.411764705882	460.571428571429	156
19	.916666666666667	.787878787878788	.761904761904762	.842105263157895	.918918918918919	.903225806451613	1183.18181818182	1117.73076923077	1058.5	1077.40625	1098	1043.82142857143	1	.921052631578947	.891304347826087	.880952380952381	.871794871794872	.9375	2086.55263157895	612.171428571429	652.609756097561	708.810810810811	647.676470588235	562.555555555556	.885714285714286	.918918918918919	.842105263157895	.857142857142857	.85	.75	893.741935483871	996.294117647059	1265.1875	1100.46666666667	1096.64705882353	1277	1	.921052631578947	.891304347826087	.880952380952381	.871794871794872	.9375	2086.55263157895	612.171428571429	652.609756097561	708.810810810811	647.676470588235	562.555555555556	.941176470588235	.945945945945946	.805555555555556	.783783783783784	.825	.818181818181818	1629.125	1024.11428571429	1011.06896551724	896.793103448276	1058.0303030303	918.333333333333	1	.921052631578947	.891304347826087	.880952380952381	.871794871794872	.9375	2086.55263157895	612.171428571429	652.609756097561	708.810810810811	647.676470588235	562.555555555556	156
20	.692307692307692	.702127659574468	.69047619047619	.791666666666667	.743589743589744	.933333333333333	1081.07407407407	1063.33333333333	1028.8275862069	1175.65789473684	896.827586206897	856.880952380952	.844444444444444	.8	.733333333333333	.6	.738095238095238	.702702702702703	964.447368421053	731.392857142857	846.5	1239.61111111111	987.258064516129	715.884615384615	.631578947368421	.818181818181818	.697674418604651	.775510204081633	.725	.891304347826087	1066.58333333333	983.083333333333	1253.56666666667	947.736842105263	1052	869.975609756098	.844444444444444	.8	.733333333333333	.6	.738095238095238	.702702702702703	964.447368421053	731.392857142857	846.5	1239.61111111111	987.258064516129	715.884615384615	.895833333333333	.930232558139535	.804347826086957	.666666666666667	.7	.545454545454545	1110.67441860465	866.375	898.405405405405	1018.61538461538	1292.14285714286	936.166666666667	.844444444444444	.8	.733333333333333	.6	.738095238095238	.702702702702703	964.447368421053	731.392857142857	846.5	1239.61111111111	987.258064516129	715.884615384615	156
111	.588235294117647	.607142857142857	.727272727272727	.588235294117647	.675	.585365853658537	910.8	1076.88235294118	1203.375	1055	1159.14814814815	1010.625	.909090909090909	.794871794871795	.923076923076923	.675	.731707317073171	.815789473684211	768.933333333333	722.032258064516	720.805555555556	867.851851851852	931.9	639.838709677419	.741935483870968	.605263157894737	.548387096774194	.594594594594595	.65	.636363636363636	870.173913043478	1030.08695652174	991.176470588235	1152.04545454545	1110.53846153846	1299.09523809524	.909090909090909	.794871794871795	.923076923076923	.675	.731707317073171	.815789473684211	768.933333333333	722.032258064516	720.805555555556	867.851851851852	931.9	639.838709677419	.425	.7	.71875	.666666666666667	.676470588235294	.612903225806452	1449.70588235294	1004.14285714286	1133.47826086957	1062.27272727273	993.04347826087	895.526315789474	.909090909090909	.794871794871795	.923076923076923	.675	.731707317073171	.815789473684211	768.933333333333	722.032258064516	720.805555555556	867.851851851852	931.9	639.838709677419	144
112	.761904761904762	.567567567567568	.703703703703704	.558139534883721	.692307692307692	.681818181818182	1158.84375	1477.7619047619	1452.36842105263	1789.70833333333	1542.55555555556	1334.1	.971428571428571	.971428571428571	1	.833333333333333	.914285714285714	.941176470588235	739.088235294118	625.941176470588	599.514285714286	805.6	861.625	549.09375	.542857142857143	.617647058823529	.675	.75	.735294117647059	.59375	1461.42105263158	1738.66666666667	1451.85185185185	1333.63636363636	1365.52	1306.63157894737	.971428571428571	.971428571428571	1	.833333333333333	.914285714285714	.941176470588235	739.088235294118	625.941176470588	599.514285714286	805.6	861.625	549.09375	.757575757575758	.717948717948718	.612903225806452	.642857142857143	.675675675675676	.540540540540541	1611.24	1324	1633.78947368421	1557.33333333333	1232.08	1260.4	.971428571428571	.971428571428571	1	.833333333333333	.914285714285714	.941176470588235	739.088235294118	625.941176470588	599.514285714286	805.6	861.625	549.09375	144
113	.878787878787879	.777777777777778	.783783783783784	.769230769230769	.648648648648649	.75609756097561	654.241379310345	871.535714285714	744.965517241379	849.133333333333	734.166666666667	864.516129032258	1	.975609756097561	.925	.783783783783784	.848484848484849	.771428571428571	491.571428571429	514.925	608.405405405405	678.51724137931	721.142857142857	586.222222222222	.823529411764706	.575757575757576	.725	.833333333333333	.75	.861111111111111	679.107142857143	823.210526315789	827.586206896552	834.5	776.125	781	1	.975609756097561	.925	.783783783783784	.848484848484849	.771428571428571	491.571428571429	514.925	608.405405405405	678.51724137931	721.142857142857	586.222222222222	.948717948717949	.888888888888889	.641025641025641	.756756756756757	.705882352941177	.657894736842105	941.216216216216	841.28125	763.48	748.357142857143	692.75	658.44	1	.975609756097561	.925	.783783783783784	.848484848484849	.771428571428571	491.571428571429	514.925	608.405405405405	678.51724137931	721.142857142857	586.222222222222	144
114	.976744186046512	.805555555555556	.90625	.942857142857143	.810810810810811	.891891891891892	1353.52380952381	1296.06896551724	1596	1413.93939393939	1459.96666666667	1413.54545454545	.9375	1	.96969696969697	.972222222222222	1	1	982.827586206897	696.702702702703	543.40625	691.8	569.4375	513.1875	.823529411764706	.931034482758621	.955555555555556	.921052631578947	.853658536585366	.848484848484849	1243.64285714286	1574.77777777778	1350.3488372093	1336.4	1414.65714285714	1647.53571428571	.9375	1	.96969696969697	.972222222222222	1	1	982.827586206897	696.702702702703	543.40625	691.8	569.4375	513.1875	.868421052631579	.888888888888889	.925925925925926	.909090909090909	.880952380952381	.886363636363636	1825.66666666667	1348.5	1528.48	1415.43333333333	1202.45945945946	1263.05128205128	.9375	1	.96969696969697	.972222222222222	1	1	982.827586206897	696.702702702703	543.40625	691.8	569.4375	513.1875	144
