vp	in1w1	in1w2	in1w3	in1w4	in1w5	in1w6	in1r1	in1r2	in1r3	in1r4	in1r5	in1r6	in2w1	in2w2	in2w3	in2w4	in2w5	in2w6	in2r1	in2r2	in2r3	in2r4	in2r5	in2r6	sp1w1	sp1w2	sp1w3	sp1w4	sp1w5	sp1w6	sp1r1	sp1r2	sp1r3	sp1r4	sp1r5	sp1r6	sp2w1	sp2w2	sp2w3	sp2w4	sp2w5	sp2w6	sp2r1	sp2r2	sp2r3	sp2r4	sp2r5	sp2r6	out1w1	out1w2	out1w3	out1w4	out1w5	out1w6	out1r1	out1r2	out1r3	out1r4	out1r5	out1r6	out2w1	out2w2	out2w3	out2w4	out2w5	out2w6	out2r1	out2r2	out2r3	out2r4	out2r5	out2r6	N_BREAK
11	.725	.5	.542857142857143	.761904761904762	.810810810810811	.952380952380952	655.586206896552	711	735.105263157895	662.53125	693.766666666667	600.875	.96875	.833333333333333	.810810810810811	.65625	.772727272727273	.735294117647059	589.322580645161	679.514285714286	670.533333333333	697.142857142857	674.205882352941	605.8	.833333333333333	.714285714285714	.666666666666667	.6	.804878048780488	.714285714285714	673.514285714286	645.24	685.678571428571	641.142857142857	664.272727272727	673.08	.96875	.833333333333333	.810810810810811	.65625	.772727272727273	.735294117647059	589.322580645161	679.514285714286	670.533333333333	697.142857142857	674.205882352941	605.8	.875	.783783783783784	.838709677419355	.69047619047619	.636363636363636	.574468085106383	636.942857142857	672.448275862069	704.692307692308	644.862068965517	656.809523809524	685.37037037037	.96875	.833333333333333	.810810810810811	.65625	.772727272727273	.735294117647059	589.322580645161	679.514285714286	670.533333333333	697.142857142857	674.205882352941	605.8	156
12	.868421052631579	.795454545454545	.833333333333333	.893617021276596	.872340425531915	.906976744186046	788.393939393939	793.514285714286	782.8	669.97619047619	635.951219512195	647.410256410256	1	.882352941176471	.976190476190476	.888888888888889	.921052631578947	.935483870967742	532.128205128205	489.033333333333	569.341463414634	582.5	599.628571428571	598.379310344828	.8	.909090909090909	.904761904761905	.923076923076923	.833333333333333	.815789473684211	701.3	719.675	695.605263157895	721.666666666667	744.828571428571	690.806451612903	1	.882352941176471	.976190476190476	.888888888888889	.921052631578947	.935483870967742	532.128205128205	489.033333333333	569.341463414634	582.5	599.628571428571	598.379310344828	1	.872340425531915	.897959183673469	.743589743589744	.833333333333333	.80952380952381	646.619047619048	740.487804878049	731.954545454546	649.793103448276	756.133333333333	749.529411764706	1	.882352941176471	.976190476190476	.888888888888889	.921052631578947	.935483870967742	532.128205128205	489.033333333333	569.341463414634	582.5	599.628571428571	598.379310344828	156
13	.694444444444444	.805555555555556	.795454545454545	.891891891891892	.888888888888889	.931034482758621	636.8	674.48275862069	584.542857142857	586.727272727273	598.65625	597.037037037037	.958333333333333	.941176470588235	.976744186046512	.978260869565217	.911111111111111	.936170212765957	489.717391304348	522.53125	525.095238095238	532.266666666667	547.341463414634	517.909090909091	.829268292682927	.906976744186046	.8	.766666666666667	.821428571428571	.833333333333333	581.382352941176	613.333333333333	621.34375	626.217391304348	574.130434782609	646.666666666667	.958333333333333	.941176470588235	.976744186046512	.978260869565217	.911111111111111	.936170212765957	489.717391304348	522.53125	525.095238095238	532.266666666667	547.341463414634	517.909090909091	.923076923076923	.914285714285714	.848484848484849	.837837837837838	.842105263157895	.611111111111111	614.75	553.4375	702.857142857143	624.903225806452	595.5	574.045454545455	.958333333333333	.941176470588235	.976744186046512	.978260869565217	.911111111111111	.936170212765957	489.717391304348	522.53125	525.095238095238	532.266666666667	547.341463414634	517.909090909091	156
14	.904761904761905	.871794871794872	.888888888888889	.880952380952381	.767441860465116	.80952380952381	1151.34210526316	884.294117647059	944.525	1063.97297297297	1072.48484848485	1201.88235294118	1	1	.878787878787879	.878787878787879	.8	.657142857142857	1060.96551724138	818.838709677419	786.275862068965	984.793103448276	1119.78571428571	801.086956521739	.875	.871794871794872	.880952380952381	.867924528301887	.783783783783784	.833333333333333	1030.8	1008.61764705882	1065.72972972973	1091.30434782609	1145	971.8	1	1	.878787878787879	.878787878787879	.8	.657142857142857	1060.96551724138	818.838709677419	786.275862068965	984.793103448276	1119.78571428571	801.086956521739	.933333333333333	.847826086956522	.840909090909091	.842105263157895	.80952380952381	.842105263157895	1076.71428571429	885.820512820513	1021.21621621622	1081.46875	1071.70588235294	1206.9375	1	1	.878787878787879	.878787878787879	.8	.657142857142857	1060.96551724138	818.838709677419	786.275862068965	984.793103448276	1119.78571428571	801.086956521739	156
15	.756756756756757	.613636363636364	.727272727272727	.869565217391304	.897435897435897	.975609756097561	912.607142857143	975.296296296296	968.083333333333	809.025	816.257142857143	858.125	.885714285714286	.795454545454545	.813953488372093	.9	.625	.73469387755102	924.516129032258	754.8	770.514285714286	726.333333333333	973.6	747.277777777778	.717948717948718	.894736842105263	.780487804878049	.720930232558139	.853658536585366	.894736842105263	897.178571428571	793.852941176471	950.28125	933.290322580645	865.542857142857	842	.885714285714286	.795454545454545	.813953488372093	.9	.625	.73469387755102	924.516129032258	754.8	770.514285714286	726.333333333333	973.6	747.277777777778	.886363636363636	.861111111111111	.885714285714286	.871794871794872	.744186046511628	.627906976744186	972.102564102564	939.096774193548	773.258064516129	827.470588235294	837.90625	904.925925925926	.885714285714286	.795454545454545	.813953488372093	.9	.625	.73469387755102	924.516129032258	754.8	770.514285714286	726.333333333333	973.6	747.277777777778	156
16	.804878048780488	.666666666666667	.837209302325581	.857142857142857	.96078431372549	.955555555555556	660.181818181818	715.454545454546	723.472222222222	657.472222222222	667.428571428571	626.348837209302	1	.891891891891892	.914285714285714	.828571428571429	.96969696969697	.878787878787879	535.647058823529	545.272727272727	521.625	538.896551724138	595.03125	536.448275862069	.837837837837838	.833333333333333	.823529411764706	.883720930232558	.897959183673469	.871794871794872	645.322580645161	707.4	637.452380952381	639.368421052632	709.136363636364	687.617647058824	1	.891891891891892	.914285714285714	.828571428571429	.96969696969697	.878787878787879	535.647058823529	545.272727272727	521.625	538.896551724138	595.03125	536.448275862069	.837209302325581	.953488372093023	.836734693877551	.844444444444444	.75609756097561	.941176470588235	692.527777777778	589.682926829268	619.80487804878	713.815789473684	750.967741935484	686	1	.891891891891892	.914285714285714	.828571428571429	.96969696969697	.878787878787879	535.647058823529	545.272727272727	521.625	538.896551724138	595.03125	536.448275862069	156
17	.815789473684211	.864864864864865	.755555555555556	.769230769230769	.875	.810810810810811	935.645161290323	1258.21875	1170.70588235294	1059.86666666667	1143.5	1091.13793103448	.833333333333333	.833333333333333	.86046511627907	.829268292682927	.612903225806452	.647058823529412	946.2	1010.22857142857	1193.08108108108	1127.67647058824	1108.89473684211	1123.04761904762	.770833333333333	.848484848484849	.813953488372093	.756756756756757	.864864864864865	.833333333333333	1091.91891891892	1155.75	1106.73529411765	1097.92857142857	1079.1875	1154.48	.833333333333333	.833333333333333	.86046511627907	.829268292682927	.612903225806452	.647058823529412	946.2	1010.22857142857	1193.08108108108	1127.67647058824	1108.89473684211	1123.04761904762	.928571428571429	.804878048780488	.829268292682927	.771428571428571	.793103448275862	.725	1210.21052631579	1058.18181818182	1201.02941176471	844.888888888889	1061.04347826087	1226.55172413793	.833333333333333	.833333333333333	.86046511627907	.829268292682927	.612903225806452	.647058823529412	946.2	1010.22857142857	1193.08108108108	1127.67647058824	1108.89473684211	1123.04761904762	156
18	.897435897435897	.973684210526316	.930232558139535	1	.902439024390244	.9	866.714285714286	1019.13513513514	965.15	922.416666666667	987.216216216216	911.911111111111	1	1	1	.941176470588235	.868421052631579	.884615384615385	846.871794871795	620.558823529412	593.888888888889	730.25	574.363636363636	615.391304347826	.909090909090909	.888888888888889	.918367346938776	1	.95	.921052631578947	868.75	910.34375	1003.71111111111	844.875	1024.39473684211	1018.54285714286	1	1	1	.941176470588235	.868421052631579	.884615384615385	846.871794871795	620.558823529412	593.888888888889	730.25	574.363636363636	615.391304347826	.973684210526316	.975	.921052631578947	.906976744186046	.836734693877551	1	1024.54054054054	891.487179487179	866.457142857143	808.615384615385	952.829268292683	1123.46153846154	1	1	1	.941176470588235	.868421052631579	.884615384615385	846.871794871795	620.558823529412	593.888888888889	730.25	574.363636363636	615.391304347826	156
19	.894736842105263	.794117647058823	.897435897435897	.736842105263158	.944444444444444	.971428571428571	658.029411764706	683.074074074074	720.971428571429	669.285714285714	591.382352941176	618.058823529412	.953488372093023	.861111111111111	.945945945945946	.708333333333333	.825	.911111111111111	586.073170731707	547.741935483871	666.942857142857	641.441176470588	557.515151515152	532.926829268293	.9	.864864864864865	.810810810810811	.838709677419355	.902439024390244	.911764705882353	670.777777777778	642.03125	676.733333333333	624.653846153846	650.351351351351	664.903225806452	.953488372093023	.861111111111111	.945945945945946	.708333333333333	.825	.911111111111111	586.073170731707	547.741935483871	666.942857142857	641.441176470588	557.515151515152	532.926829268293	.931818181818182	.871794871794872	.842105263157895	.861111111111111	.852941176470588	.862068965517241	678.609756097561	622.970588235294	643.03125	678.096774193548	657.655172413793	649.48	.953488372093023	.861111111111111	.945945945945946	.708333333333333	.825	.911111111111111	586.073170731707	547.741935483871	666.942857142857	641.441176470588	557.515151515152	532.926829268293	156
20	.926829268292683	.777777777777778	.853658536585366	.775	.789473684210526	.854166666666667	716.342105263158	679.428571428571	725.828571428571	794.258064516129	816.6	787.780487804878	.948717948717949	.944444444444444	.885714285714286	.588235294117647	.605263157894737	.67741935483871	707.945945945946	581.176470588235	681.161290322581	740	672.608695652174	705.809523809524	.688888888888889	.897435897435897	.883720930232558	.842105263157895	.886363636363636	.795454545454545	742.58064516129	730.542857142857	742.973684210526	737.8125	809.666666666667	737.571428571429	.948717948717949	.944444444444444	.885714285714286	.588235294117647	.605263157894737	.67741935483871	707.945945945946	581.176470588235	681.161290322581	740	672.608695652174	705.809523809524	.897435897435897	.772727272727273	.760869565217391	.868421052631579	.833333333333333	.863636363636364	865.971428571429	802.882352941176	695.514285714286	766.969696969697	732.371428571429	656.078947368421	.948717948717949	.944444444444444	.885714285714286	.588235294117647	.605263157894737	.67741935483871	707.945945945946	581.176470588235	681.161290322581	740	672.608695652174	705.809523809524	156
21	.896551724137931	.878787878787879	.742857142857143	.871794871794872	.866666666666667	.818181818181818	752.115384615385	1026.89655172414	852.692307692308	834.411764705882	910.576923076923	949.777777777778	.978260869565217	1	.761904761904762	.75	.636363636363636	.71875	777.733333333333	617.378378378378	510.03125	760.074074074074	719.857142857143	669.695652173913	.727272727272727	.805555555555556	.903225806451613	.857142857142857	.911764705882353	.866666666666667	868.916666666667	845.586206896552	818.357142857143	959.8	909.677419354839	919.615384615385	.978260869565217	1	.761904761904762	.75	.636363636363636	.71875	777.733333333333	617.378378378378	510.03125	760.074074074074	719.857142857143	669.695652173913	.891891891891892	.88	.875	.814814814814815	.794117647058823	.805555555555556	1036.42424242424	790.227272727273	765.571428571429	945.954545454546	832.703703703704	948.896551724138	.978260869565217	1	.761904761904762	.75	.636363636363636	.71875	777.733333333333	617.378378378378	510.03125	760.074074074074	719.857142857143	669.695652173913	156
22	.682926829268293	.738095238095238	.634146341463415	.86	.8	.804878048780488	699.5	753.903225806452	751.884615384615	789.860465116279	739.65625	758.090909090909	.948717948717949	.756756756756757	.75	.789473684210526	.666666666666667	.742857142857143	631.162162162162	627.5	594.766666666667	778.3	680.583333333333	614.769230769231	.790697674418605	.717948717948718	.711111111111111	.804878048780488	.777777777777778	.738095238095238	735.911764705882	741.571428571429	878.28125	694.454545454546	725.6	740.41935483871	.948717948717949	.756756756756757	.75	.789473684210526	.666666666666667	.742857142857143	631.162162162162	627.5	594.766666666667	778.3	680.583333333333	614.769230769231	.95	.829787234042553	.785714285714286	.7	.682926829268293	.571428571428571	862.131578947368	758.282051282051	752.363636363636	709.857142857143	721.357142857143	647.55	.948717948717949	.756756756756757	.75	.789473684210526	.666666666666667	.742857142857143	631.162162162162	627.5	594.766666666667	778.3	680.583333333333	614.769230769231	156
23	.82051282051282	.733333333333333	.818181818181818	.742857142857143	.842105263157895	.883720930232558	613.125	667.636363636364	647.444444444444	692.576923076923	709.875	640.736842105263	.945945945945946	.95	.973684210526316	.863636363636364	.733333333333333	.911111111111111	471.428571428571	544.105263157895	623.081081081081	598.815789473684	602.484848484849	588.487804878049	.882352941176471	.818181818181818	.833333333333333	.833333333333333	.702702702702703	.805555555555556	676.9	604.259259259259	641.633333333333	655.742857142857	755.192307692308	634.586206896552	.945945945945946	.95	.973684210526316	.863636363636364	.733333333333333	.911111111111111	471.428571428571	544.105263157895	623.081081081081	598.815789473684	602.484848484849	588.487804878049	1	.823529411764706	.914285714285714	.725	.67741935483871	.717948717948718	624	707.535714285714	660	667.724137931035	701.571428571429	624.857142857143	.945945945945946	.95	.973684210526316	.863636363636364	.733333333333333	.911111111111111	471.428571428571	544.105263157895	623.081081081081	598.815789473684	602.484848484849	588.487804878049	156
