2 80 1 1    0.818    0.591    0.575    1.489    0.529    0.997 5 5 5 5 5 5  1062.961  580.315  538.066  558.372  660.175  563.959 
2 81 1 1    0.735    0.208    1.207    0.891    0.653    1.306 6 6 6 6 6 6  855.867  411.890  199.302  642.460  610.588  505.196 
2 82 1 1    0.362    0.392    0.779    0.261    2.073    1.133 4 4 4 4 4 4  1038.122  447.994  290.556  395.104  1653.322  1138.006 
2 83 1 0    1.305    0.268    0.989    0.448    1.140    0.851 1 2 3 4 5 6  1764.974  335.021  287.574  413.761  293.185  376.034 
2 84 1 1    0.206    0.447    1.195    1.381    0.508    1.264 -9 -9 -9 -9 -9 -9  526.070  433.405  317.807  442.305  623.634  580.057 
2 85 1 0    0.485    1.376    0.575    0.641    0.945    0.978 1 2 3 4 5 6  1316.394  841.424  367.348  293.350  367.435  265.196 
2 86 1 1    1.017    0.779    0.550    0.279    1.241    1.134 2 2 2 2 2 2  652.765  425.575  287.575  401.099  477.785  604.713 
2 87 1 0    1.392    0.221    0.413    1.680    0.300    0.994 1 2 3 4 5 6  2065.169  395.322  639.632  569.127  373.192  403.193 
2 88 1 0    0.784    1.280    0.905    0.917    0.407    0.707 1 2 3 4 5 6  1732.458  626.445  348.462  398.218  474.683  392.369 
2 89 1 1    0.554    1.331    0.220    1.201    0.372    1.321 -9 -9 -9 -9 -9 -9  1242.155  458.236  664.514  414.631  634.066  331.183 
2 90 1 1    0.411    1.326    0.733    1.523    0.606    0.402 2 2 2 2 2 2  1024.698  369.718  694.942  634.770  819.012  315.509 
2 91 1 0    0.740    0.716    0.983    1.002    0.638    0.923 1 2 3 4 6 5  1872.206  449.704  427.622  700.540  1146.968  309.913 
2 92 1 1    0.644    1.024    0.351    0.916    1.050    1.015 4 4 4 4 4 4  631.087  437.243  414.638  610.175  901.658  458.997 
2 93 1 0    0.821    1.039    0.522    1.208    0.303    1.107 1 2 3 4 5 6  1817.774  549.123  340.403  788.842  381.574  390.805 
2 94 1 1    1.171    1.045    0.428    1.261    0.693    0.401 1 1 1 1 1 1  804.631  499.998  471.745  309.427  444.479  535.575 
2 95 1 1    0.251    0.578    1.623    1.489    0.798    0.260 -9 -9 -9 -9 -9 -9  942.208  574.342  656.607  1506.981  549.837  606.986 
2 96 1 0    0.248    1.463    1.231    0.954    0.622    0.482 1 2 3 4 5 6  2222.607  482.863  549.302  372.790  1020.436  546.589 
2 97 1 1    1.076    1.576    1.051    0.636    0.303    0.359 -9 -9 -9 -9 -9 -9  1280.939  703.564  775.101  880.232  434.196  348.862 
2 98 1 1    0.734    1.396    0.865    0.323    1.061    0.620 4 4 4 4 4 4  862.702  489.085  522.072  864.055  420.503  360.020 
2 99 1 0    0.284    0.914    0.226    0.457    2.878    0.240 1 3 -9 5 -9 6  2000.118  382.118  329.372  764.185  679.391  248.979 
2 100 1 0    1.145    0.572    0.739    1.148    1.194    0.202 1 2 3 4 5 6  1325.340  483.092  303.618  496.904  833.107  1188.104 
2 101 1 0    1.426    0.827    0.382    0.522    0.711    1.132 1 2 3 4 5 6  1118.656  397.237  276.949  414.776  571.046  204.978 
2 102 1 1    0.875    1.390    0.455    0.308    0.844    1.128 -9 -9 -9 -9 -9 -9  791.413  667.198  321.218  458.942  469.983  354.652 
2 103 1 1    1.141    0.571    0.688    1.177    0.644    0.778 3 3 3 3 3 3  731.783  654.147  560.869  874.958  514.182  580.380 
2 104 1 1    0.326    1.309    0.514    0.886    0.907    1.058 4 4 4 4 4 4  684.967  494.995  597.552  621.599  603.124  869.827 
