2   1   1   3   16   J   Z   D   M   H   J   Z   D   H   C   1.896   2.327   2.036   2.342   2.287
2   1   1   0   17   L   S   X   K   T   L   S   X   K   T   1.885   1.351   1.324   1.02   1.027
2   1   1   13   18   F   G   H   V   P   F   G   V   P   L   1.737   2.291   2.275   2.159   2.474
2   1   1   0   19   X   L   B   V   C   X   L   B   V   C   2.153   0.818   0.933   0.589   0.924
2   1   1   3   20   V   C   B   T   M   V   C   B   L   T   2.047   1.953   2.624   2.411   2.312
2   1   1   11   21   J   D   S   B   G   J   D   S   B   G   2.463   2.505   2.291   2.172   2.719
2   1   1   1   22   D   N   T   H   W   D   N   T   F   H   1.954   2.034   1.889   2.103   2.05
2   1   1   3   23   L   J   W   Z   P   L   H   P   F   D   2.063   2.516   2.879   2.262   1.675
2   1   1   3   24   C   P   T   D   F   C   P   T   L   C   1.231   1.958   1.753   2.879   2.262
2   1   1   0   25   P   G   F   X   J   P   G   F   X   F   1.984   2.075   1.245   1.712   1.261
2   1   1   3   26   T   P   C   Z   M   T   P   Z   L   D   1.793   2.598   2.608   2.625   2.232
2   1   1   13   27   S   B   J   N   P   S   J   P   T   D   2.007   2.413   3.281   2.636   2.559
2   1   1   0   28   Z   C   B   L   K   Z   C   B   L   D   1.914   1.431   1.432   1.368   1.471
2   1   1   0   29   L   T   Z   F   S   L   T   Z   C   F   2.395   1.097   1.567   1.369   0.923
2   1   1   1   30   Z   P   J   B   K   Z   P   H   P   C   1.858   2.252   2.425   1.647   2.034
2   1   1   3   31   W   B   K   X   N   W   K   B   V   C   0.864   2.666   2.166   2.117   1.808
2   1   1   1   32   J   H   C   T   K   J   H   T   L   K   2.048   2.047   1.378   1.406   1.337
2   1   1   0   33   Z   C   J   M   S   Z   C   M   S   L   1.522   1.016   1.513   1.429   1.234
2   1   1   1   34   D   B   R   Z   P   D   B   Z   R   L   1.401   1.623   1.67   1.742   1.274
2   1   1   0   35   K   M   L   V   B   K   M   L   V   B   1.553   1.152   1.3   1.536   1.113
2   1   1   13   36   Z   P   K   M   N   Z   P   L   D   K   1.564   2.522   2.613   2.959   2.329
2   1   1   1   37   H   S   F   K   B   H   S   F   K   B   2.009   1.767   1.982   1.39   1.566
2   1   1   1   38   L   R   T   J   S   L   R   T   S   T   1.46   1.821   1.646   2.022   1.796
2   1   1   11   39   N   H   F   X   K   N   F   H   D   K   1.713   2.113   1.673   2.034   2.01
2   1   1   13   40   C   D   R   Z   P   C   D   R   K   W   1.751   2.006   2.118   2.558   2.474
2   1   1   11   41   J   T   D   G   N   J   T   D   K   H   1.781   1.835   1.928   1.986   2.279
2   1   1   0   42   N   Z   C   T   K   N   Z   C   T   K   1.526   0.882   0.938   0.885   0.777
2   1   1   1   43   W   K   C   V   R   W   T   K   D   F   2.061   2.263   1.445   2.408   1.69
2   1   1   0   44   Z   X   L   N   H   Z   X   L   T   H   1.098   1.382   1.275   1.189   0.738
2   1   1   11   45   L   P   T   X   M   L   P   T   X   W   1.888   2.224   1.899   2.022   2.221
2   1   1   11   46   D   P   M   G   V   D   T   M   L   F   1.353   1.566   1.781   2.143   1.66
2   1   1   11   47   V   H   F   D   C   V   H   F   D   C   1.663   1.702   1.846   2.035   1.673
2   1   1   3   48   K   G   X   D   B   K   X   D   L   P   1.45   2.679   2.558   2.012   2.637
2   1   1   3   49   S   W   R   Z   F   S   L   R   F   L   1.849   1.77   1.925   2.062   3.003
2   1   1   3   50   D   H   K   G   B   D   H   B   L   C   1.554   2.128   2.224   2.155   2.153
2   1   1   11   51   J   V   N   Z   W   J   V   L   D   C   2.041   2.208   2.119   2.075   1.978
2   1   1   11   52   L   N   R   M   J   L   N   R   D   H   1.985   1.631   1.765   2.087   2.089
2   1   1   0   53   T   V   W   P   S   T   V   W   P   S   1.501   1.328   1.285   1.074   0.976
2   1   1   13   54   D   T   B   M   Z   D   T   L   P   Z   1.877   2.155   3.042   2.479   2.397
2   1   1   13   55   R   V   B   T   H   R   V   P   L   D   1.676   2.371   2.548   2.143   1.884
2   1   1   13   56   R   M   V   T   P   R   M   V   P   T   1.502   2.33   2.208   2.144   2.063
2   1   1   3   57   N   S   D   V   R   N   S   D   R   L   2.091   1.898   2.212   2.628   2.131
2   1   1   13   58   F   D   P   M   B   F   M   P   D   F   1.594   1.955   2.158   1.873   2.319
2   1   1   3   59   T   G   Z   N   K   T   G   K   L   T   1.371   2.398   2.196   2.167   1.965
2   1   1   1   60   J   S   H   W   Z   J   S   H   L   T   1.49   1.859   1.943   1.956   1.566
3   2   1   13   1   R   V   C   T   L   R   V   T   C   F   1.854   2.328   2.507   3.74   4.716
3   2   1   3   2   K   D   H   P   W   K   D   C   T   W   1.557   2.597   4.315   2.734   2.384
3   2   1   3   3   D   P   K   N   X   D   P   K   N   T   2.081   3.354   3.552   2.37   2.757
3   2   1   3   4   G   V   T   N   W   B   V   T   N   P   4.318   3.364   3.309   2.624   2.427
3   2   1   1   5   J   G   N   K   R   J   K   G   N   K   1.285   3.926   5.107   3.697   2.146
3   2   1   0   6   J   G   W   D   F   J   D   W   K   R   1.142   0.306   1.057   1.02   2.288
3   2   1   13   7   W   J   N   F   K   W   J   K   F   C   2.282   3.823   2.225   3.575   2.747
3   2   1   11   8   X   R   C   N   G   X   R   K   G   F   1.929   3.445   2.992   2.624   3.268
3   2   1   3   9   T   H   X   M   W   T   H   K   G   C   1.986   2.075   3.672   2.721   2.652
3   2   1   0   10   K   P   V   F   S   K   P   V   R   S   2.146   0.777   1.646   2.263   1.887
3   2   1   0   11   R   S   W   C   H   R   S   W   H   R   0.939   0.643   0.814   1.205   1.202
3   2   1   11   12   P   V   S   F   K   P   V   F   K   V   2.456   1.874   2.076   2.253   2.224
3   2   1   0   13   V   B   P   C   F   V   B   P   C   F   1.157   0.91   0.941   0.705   0.655
3   2   1   3   14   J   F   C   W   V   J   F   G   P   C   2.482   2.691   2.894   1.795   1.901
3   2   1   11   15   J   Z   D   L   H   J   Z   L   P   H   1.639   2.158   2.066   1.823   3.094
3   2   1   1   16   B   S   X   C   W   B   S   X   R   C   1.916   1.686   2.505   2.199   2.84
3   2   1   3   17   X   N   D   P   K   X   P   N   P   X   1.207   3.234   1.58   3.457   2.327
3   2   1   11   18   D   L   N   F   P   D   L   N   N   P   1.732   1.932   1.66   3.137   2.13
3   2   1   1   19   F   K   D   X   G   F   K   D   G   N   2.2   1.315   1.661   2.696   1.728
3   2   1   13   20   K   D   L   R   V   K   D   C   D   F   2.241   1.914   4.063   2.409   2.653
3   2   1   3   21   F   V   R   Z   S   F   V   S   R   P   2.352   1.793   2.855   2.693   3.956
3   2   1   0   22   M   Z   P   W   B   M   Z   P   R   Q   0.484   0.186   1.438   0.933   1.379
3   2   1   1   23   T   J   G   M   L   T   J   L   M   G   1.678   1.905   2.84   1.499   2.893
3   2   1   13   24   M   T   H   B   N   M   T   H   N   F   2.714   2.976   2.173   3.459   3.054
3   2   1   11   25   V   Z   T   R   W   Z   V   R   T   F   2.872   1.874   2.199   1.795   3.124
3   2   1   0   26   B   Z   K   X   H   B   Z   H   K   X   1.211   0.44   4.316   1.875   2.01
3   2   1   13   27   H   P   C   J   B   H   P   J   F   Y   2.567   2.305   2.959   3.62   3.526
3   2   1   11   28   W   G   P   C   F   W   G   P   G   F   1.409   2.21   2.348   4.49   2.681
3   2   1   13   29   X   V   B   K   W   X   V   V   B   F   1.533   2.236   4.089   3.122   3.418
3   2   1   1   30   C   Z   M   R   W   C   M   F   Z   B   1.87   2.814   1.633   2.853   2.951
3   2   1   11   31   D   W   J   R   F   D   W   J   F   R   1.612   1.525   1.906   1.849   2.36
3   2   1   0   32   F   N   L   P   B   F   N   L   B   R   0.959   0.844   0.803   1.042   1.153
3   2   1   1   33   F   P   C   V   T   F   V   T   B   R   1.415   2.321   1.368   1.515   2.09
3   2   1   3   34   S   F   K   P   X   S   F   R   S   C   1.639   2.397   1.714   3.365   3.219
3   2   1   1   35   S   V   F   P   G   S   F   P   R   V   1.281   1.635   1.355   2.033   1.714
3   2   1   13   36   D   B   H   M   K   S   B   V   B   D   3.813   2.291   2.236   1.995   1.943
3   2   1   11   37   D   C   P   S   G   D   C   P   F   R   1.577   1.324   1.704   2.226   1.903
3   2   1   0   38   Z   K   H   F   X   Z   K   H   F   X   2.15   0.443   0.817   1.646   0.841
3   2   1   11   39   V   L   T   C   S   F   S   P   D   R   2.422   2.813   1.905   2.102   2.239
3   2   1   3   40   H   Z   C   M   D   H   D   P   R   S   2.383   2.723   2.121   1.984   1.999
3   2   1   0   41   F   X   C   K   P   F   X   C   K   Y   0.866   0.521   0.642   0.374   1.622
3   2   1   1   42   H   F   X   S   G   H   F   X   Y   L   2.205   2.292   1.861   1.527   2.079
3   2   1   13   43   D   V   M   J   L   D   J   B   Y   L   1.654   2.614   2.68   2.547   2.415
3   2   1   13   44   N   X   H   G   B   N   J   L   R   S   1.614   2.358   2.332   2.774   2.735
3   2   1   3   45   X   W   K   P   M   L   P   K   L   G   3.364   2.655   1.714   2.922   3.189
3   2   1   11   46   D   R   L   N   V   D   R   L   D   G   2.007   1.902   1.277   1.58   2.282
3   2   1   13   47   F   C   N   D   W   F   D   L   R   D   1.952   2.199   3.352   2.264   2.224
3   2   1   1   48   C   V   Z   L   P   C   V   L   P   D   1.656   1.22   1.582   1.596   1.445
3   2   1   13   49   Z   F   L   M   W   Z   V   V   F   Y   2.074   2.591   1.919   2.627   2.948
3   2   1   1   50   N   S   H   G   V   N   H   Y   F   D   2.154   2.065   2.012   1.66   1.542
3   2   1   1   51   W   J   R   D   F   S   D   F   R   L   2.314   1.744   1.515   1.797   2.054
3   2   1   3   52   B   N   W   P   F   B   N   W   P   L   1.551   2.093   2.775   2.604   1.649
3   2   1   13   53   Z   K   X   R   G   Z   J   K   Y   G   1.264   2.44   1.73   2.467   1.891
3   2   1   0   54   D   V   T   C   F   D   V   T   C   T   1.7   0.308   0.253   0.79   0.923
3   2   1   1   55   G   B   H   N   L   G   B   R   T   S   1.511   1.526   2.481   1.26   1.891
3   2   1   0   56   W   K   V   T   C   K   V   T   R   S   1.525   0.791   0.923   1.019   0.721
3   2   1   3   57   T   J   X   Z   C   T   J   X   G   D   1.686   2.765   2.947   1.759   1.636
3   2   1   11   58   V   M   X   W   F   V   M   X   Y   R   2.197   3.232   1.996   2.726   1.713
3   2   1   11   59   F   N   V   L   C   F   L   D   Y   R   1.995   1.97   2.571   1.677   1.837
