  2 1  5      1  60  J S H W Z  J  F  H  W  P    2.267    3.797    2.213    1.582    1.801 
  3 2 10     13   1  R V C T L  R  V  T  C  L    1.205    4.724    2.924    2.215    1.757 
  3 2 10      3   2  K D H P W  K  D  H  P  L    0.702    2.119    2.388    1.853    2.014 
  3 2 10      3   3  D P K N X  D  P  K  L  V    0.927    1.423    3.003    3.717    1.701 
  3 2 10      3   4  G V T N W  G  V  T  N  C    0.929    2.015    3.168    2.323    2.669 
  3 2 10      1   5  J G N K R  J  G  N  K  R    1.320    2.964    1.945    1.447    1.219 
  3 2 10      0   6  J G W D F  J  G  W  F  D    0.823    0.613    1.234    2.252    2.159 
  3 2 10     13   7  W J N F K  W  F  N  W  C    1.317    2.309    2.311    3.193    2.227 
  3 2 10     11   8  X R C N G  X  R  N  C  W    1.778    1.650    1.880    1.528    2.092 
  3 2 10      3   9  T H X M W  T  H  X  N  O    1.616    2.820    4.172    2.137    6.242 
  3 2 10      0  10  K P V F S  K  P  V  S  W    0.861    0.709    0.938    1.060    2.927 
  3 2 10      0  11  R S W C H  R  S  W  C  H    1.121    0.802    1.044    1.275    1.087 
  3 2 10     11  12  P V S F K  P  V  S  P  K    1.120    1.517    1.514    2.269    1.382 
  3 2 10      0  13  V B P C F  V  B  P  C  V    1.022    0.899    0.994    0.679    1.626 
  3 2 10      3  14  J F C W V  J  F  V  C  W    1.320    3.610    2.401    2.924    1.769 
  3 2 10     11  15  J Z D L H  J  Z  L  D  X    1.793    1.957    1.867    2.280    2.431 
  3 2 10      1  16  B S X C W  B  S  X  C  W    1.014    1.140    2.941    1.715    1.904 
  3 2 10      3  17  X N D P K  X  N  P  Z  W    1.081    1.987    2.106    4.011    2.064 
  3 2 10     11  18  D L N F P  D  L  N  F  C    1.240    1.153    1.192    2.683    3.933 
  3 2 10      1  19  F K D X G  F  K  X  G  L    1.293    1.261    1.917    2.512    1.733 
  3 2 10     13  20  K D L R V  K  D  L  V  X    1.118    2.842    2.553    3.408    2.192 
  3 2 10      3  21  F V R Z S  F  R  V  Z  X    1.485    2.496    4.309    3.193    2.897 
  3 2 10      0  22  M Z P W B  M  P  W  Z  X    1.283    3.143    1.448    1.326    1.262 
  3 2 10      1  23  T J G M L  T  J  P  M  L    1.172    1.717    1.825    1.730    1.288 
  3 2 10     13  24  M T H B N  M  T  H  B  C    1.536    2.332    3.383    3.223    1.881 
  3 2 10     11  25  V Z T R W  V  Z  R  T  X    1.238    1.500    1.906    1.930    2.578 
  3 2 10      0  26  B Z K X H  B  Z  K  H  L    1.094    0.738    0.765    0.845    0.913 
  3 2 10     13  27  H P C J B  H  P  C  L  X    1.912    2.512    3.260    2.512    2.724 
  3 2 10     11  28  W G P C F  W  P  V  G  L    1.644    1.427    1.702    2.901    2.227 
  3 2 10     13  29  X V B K W  X  B  C  L  X    1.304    2.779    3.261    1.893    2.237 
  3 2 10      1  30  C Z M R W  C  Z  R  M  X    1.348    1.770    1.542    1.651    2.441 
  3 2 10     11  31  D W J R F  D  W  R  J  C    0.760    1.876    1.865    1.596    2.429 
  3 2 10      0  32  F N L P B  F  L  N  P  S    1.026    0.993    0.589    0.741    2.132 
  3 2 10      1  33  F P C V T  F  P  C  T  N    1.335    1.598    1.513    2.468    1.452 
  3 2 10      3  34  S F K P X  S  P  K  N  C    1.252    2.000    1.756    2.790    1.920 
  3 2 10      1  35  S V F P G  S  V  C  P  T    1.319    1.423    1.877    1.234    1.392 
  3 2 10     13  36  D B H M K  D  B  T  H  C    1.700    2.551    2.309    2.148    1.972 
  3 2 10     11  37  D C P S G  D  C  P  T  L    1.200    1.166    1.732    1.986    2.769 
  3 2 10      0  38  Z K H F X  Z  K  H  F  L    1.724    1.248    1.004    0.989    0.550 
  3 2 10     11  39  V L T C S  V  L  C  T  S    1.738    1.382    1.741    1.476    2.859 
  3 2 10      3  40  H Z C M D  H  C  M  T  L    2.414    2.965    5.114    1.596    1.530 
