  2  1      4  27  X K S N H   2.574   2.614   2.902   2.094   2.735  X  K  N  H  S    1.663    0.424    1.322    0.655    0.538 
  2  1     13  28  M X C H K   2.998   2.926   2.662   2.599   2.448  M  X  C  H  K    3.072    0.345    0.542    0.416    0.366 
  2  1      0  29  T K J C M   0.000   0.000   0.000   0.000   0.000  T  K  J  C  M    1.235    0.438    0.487    0.536    0.594 
  2  1      0  30  C G M R W   0.000   0.000   0.000   0.000   0.000  C  G  M  R  W    1.463    0.491    0.514    0.466    0.403 
  2  1      4  31  P M B T G   3.118   3.567   2.494   2.550   2.591  P  M  B  T  G    1.761    1.278    0.774    0.322    0.440 
  2  1     13  32  H X F R J   2.310   2.878   2.782   2.902   2.782  H  F  X  R  J    2.410    0.634    0.607    0.597    0.271 
  2  1      0  33  M W D L H   0.000   0.000   0.000   0.000   0.000  M  W  D  L  H    1.404    0.415    0.608    0.537    0.450 
  2  1      0  34  D B S G X   0.000   0.000   0.000   0.000   0.000  D  B  S  G  X    1.851    0.465    0.751    0.632    0.485 
  2  1      1  35  D X T Z R   1.094   1.166   1.446   1.119   1.142  D  X  T  Z  R    1.812    0.967    0.606    0.681    0.416 
  2  1     13  36  N H P G K   2.542   3.215   3.430   3.070   3.375  N  H  P  G  K    1.593    0.448    0.815    0.593    0.513 
  2  1      1  37  M H R L S   1.295   1.326   1.455   1.374   1.095  M  H  R  L  S    1.507    0.270    0.416    0.994    0.438 
  2  1      1  38  L W D J N   1.238   1.310   1.327   1.454   1.494  L  W  D  J  M    1.431    0.607    0.968    0.767    1.590 
  2  1      1  39  T M F B N   1.134   1.262   1.359   1.183   1.214  T  M  W  F  N    4.118    0.225    0.894    0.870    0.491 
  2  1     13  40  P B T X D   2.382   3.047   3.374   3.639   3.311  P  B  T  X  G    3.310    0.513    0.776    0.605    0.606 
  2  1      1  41  N G Z V B   1.375   1.478   1.687   1.539   1.494  N  G  Z  V  B    1.856    0.323    0.594    0.560    0.415 
  2  1     13  42  Z R C V S   2.518   2.766   3.734   3.095   2.950  Z  R  C  V  S    1.786    1.032    0.513    0.798    0.560 
  2  1      0  43  H F V T J   0.000   0.000   0.000   0.000   0.000  H  F  V  T  J    1.521    0.513    0.657    0.703    0.630 
  2  1      1  44  F N S X H   1.310   1.326   1.382   1.311   1.135  F  N  S  X  H    1.792    0.328    1.274    1.039    1.104 
  2  1      0  45  J F M N K   0.000   0.000   0.000   0.000   0.000  J  F  M  N  K    1.380    0.560    0.467    0.583    1.158 
  2  1      4  46  Z B G F X   2.926   2.902   3.070   2.734   2.544  Z  B  G  F  X    1.504    0.778    1.007    0.801    0.582 
  2  1      0  47  G S P M J   0.000   0.000   0.000   0.000   0.000  G  S  M  P  J    3.089    1.186    1.057    0.513    0.631 
  2  1      4  48  H T R C K   2.694   2.687   3.094   3.254   2.742  H  T  R  C  K    1.760    0.681    0.682    0.559    0.390 
  3  1      1   1  M V H J L   1.379   1.310   1.166   1.287   0.879  M  J  V  L  W    4.637    0.820    2.801    3.888    8.395 
  3  1      0   2  S C W L K   0.000   0.000   0.000   0.000   0.000  S  C  W  L  K    1.416    0.174    0.350    0.245    0.233 
  3  1     13   3  N B H P V   2.086   3.046   2.118   2.551   2.734  N  B  V  P  P    1.498    0.632    3.850    1.040    7.632 
  3  1      0   4  J G N T M   0.000   0.000   0.000   0.000   0.000  J  G  N  T  M    0.969    0.226    0.560    0.898    0.159 
  3  1      0   5  J N C H K   0.000   0.000   0.000   0.000   0.000  J  N  C  H  K    1.129    0.256    0.319    0.112    0.394 
  3  1      0   6  L J W K S   0.000   0.000   0.000   0.000   0.000  N  J  W  K  S    3.996    0.342    1.042    0.223    0.234 
  3  1      4   7  X L C R G   2.854   2.806   3.310   3.070   2.542  X  L  C  R  G    2.024    0.151    1.895    0.438    0.751 
  3  1      1   8  W J N T M   1.238   1.286   1.215   1.206   1.167  W  J  N  T  M    1.218    0.392    0.294    0.186    0.296 
  3  1      4   9  S C H T N   2.382   2.190   2.302   2.950   2.527  C  R  H  T  B    4.402    3.704    2.581    0.113    3.417 
  3  1      0  10  J S P D T   0.000   0.000   0.000   0.000   0.000  J  S  P  D  T    0.948    0.343    0.726    0.328    0.247 
  3  1      1  11  W Z J T K   1.622   1.518   1.574   1.422   1.214  W  Z  K  T  M    1.352    1.062    1.462    0.706    6.633 
  3  1     13  12  H V P S B   2.022   2.734   3.214   2.926   2.262  W  Z  P  B  T    7.595    2.461    1.440    3.016    1.799 
  3  1      0  13  N D L J S   0.000   0.000   0.000   0.000   0.000  N  D  L  J  S    0.930    0.402    0.176    0.302    0.271 
  3  1      1  14  G R C V P   1.166   1.022   1.423   1.334   0.975  G  R  C  V  P    1.714    0.163    0.151    0.089    0.270 
  3  1      4  15  C B K T G   3.550   3.638   2.831   2.526   2.063  C  B  K  G  T    2.314    0.825    0.774    3.130    0.303 
  3  1     13  16  H B G T W   2.094   2.806   3.215   2.374   2.382  D  G  T  W  P    2.689    0.846    0.296    1.344    2.498 
  3  1      4  17  B H P S J   3.158   3.262   3.710   3.670   3.662  B  H  P  H  T    2.524    0.133    0.295    9.415    0.404 
  3  1      1  18  B G Z P T   1.094   1.158   1.695   1.327   0.718  B  G  Z  P  T    1.522    1.113    0.511    1.288    0.208 
  3  1      4  19  N H L T C   2.422   2.832   2.404   2.447   2.878  N  H  L  T  C    2.074    0.112    0.654    3.962    0.257 
  3  1     13  20  V G S D K   2.118   2.566   2.190   2.398   2.383  V  G  S  D  K    1.857    0.221    0.474    2.030    0.139 
  3  1     13  21  Z X V G P   2.237   3.615   2.070   2.567   2.263  Z  H  P  T  W    9.547    0.753    2.064    1.009    2.631 
  3  1      4  22  D F S T C   2.646   2.662   2.998   2.782   2.478  D  F  S  T  C    1.401    2.512    1.041    1.537    0.537 
  3  1     13  23  H M D V J   2.214   2.262   3.542   3.238   4.022  H  M  V  D  T    2.038    0.257    0.129    2.706    1.921 
  3  1      4  24  T Z W J N   2.710   2.830   2.862   2.566   2.638  T  Z  W  P  N    1.626    0.342    0.344    7.873    0.512 
  3  1      4  25  K Z X B S   2.392   2.334   2.350   2.215   2.118  K  Z  D  X  B    2.113    1.207    5.178    0.139    0.658 
  3  1      0  26  M K S N V   0.000   0.000   0.000   0.000   0.000  M  K  S  N  V    0.731    0.176    0.282    0.128    0.209 
  3  1      1  27  K F L S P   1.710   1.214   1.238   1.591   0.975  K  F  L  S  P    1.689    0.280    2.560    1.369    0.305 
  3  1     13  28  J C B S Z   2.062   2.238   2.999   2.806   2.143  J  C  B  S  W    3.143    0.202    0.658    0.135    0.176 
  3  1      1  29  D X M K R   1.503   1.398   1.238   0.878   0.719  D  X  M  K  R    1.762    0.128    0.162    0.246    0.377 
  3  1      1  30  M C D J G   1.142   1.478   1.398   1.238   1.262  M  C  D  J  G    1.451    0.111    0.295    0.538    0.541 
  3  1      4  31  N B D T R   2.758   2.831   2.854   2.998   2.471  N  B  D  T  R    2.650    0.393    0.151    0.186    0.274 
  3  1      4  32  Z P X G W   2.430   3.070   2.806   3.118   2.326  Z  P  X  G  W    2.504    0.321    0.584    0.186    0.415 
  3  1      0  33  N B D T Z   0.000   0.000   0.000   0.000   0.000  N  B  D  T  Z    1.063    0.274    0.330    0.150    0.537 
  3  1      0  34  D V W C G   0.000   0.000   0.000   0.000   0.000  D  V  W  C  G    1.828    0.134    0.175    0.922    1.463 
  3  1      0  35  M K H J S   0.000   0.000   0.000   0.000   0.000  M  K  J  S  S    1.041    0.258    1.463    0.991    4.824 
  3  1      1  36  J T D G Z   1.142   1.094   1.310   1.326   0.878  J  D  T  G  W    1.460    1.249    0.182    5.319    0.632 
  3  1      1  37  F W G M Z   1.202   1.020   1.686   1.359   1.111  F  W  G  M  Z    1.927    0.327    0.130    0.398    0.152 
  3  1      4  38  J Z V B W   2.670   2.374   2.614   3.334   2.358  J  G  P  B  W    3.640    1.582    3.321    0.283    0.704 
  3  1      4  39  H T D N S   2.902   2.878   2.854   2.782   2.662  H  T  D  N  S    2.124    0.438    1.015    0.994    1.608 
  3  1     13  40  S L K F X   3.046   2.687   2.550   4.206   2.806  S  L  K  F  G    3.626    0.249    0.703    0.350    3.343 
