39 16 5   17 27    3   2   17   10   2   4   27 19  0  1656  156  1  3  
40 9 2   26 25    10   12   3   8   5   2   25 5  0  465  165  1  1  
41 16 6   32 2    19   6   1   20   19   0   2 6  0  3208  208  1  3  
42 20 6   13 0    6   0   5   10   11   7   2 19  0  3186  186  1  3  
43 0 3   8 22    11   16   2   10   0   3   8 11  0  671  171  0  3  
44 22 2   27 6    2   19   15   11   1   16   25 8  0  667  367  0  1  
45 15 0   25 28    2   5   18   19   14   8   28 3  0  337  294  0  1  
46 15 1   2 30    17   0   7   6   14   0   30 1  0  431  231  1  3  
47 17 0   22 5    4   16   10   12   18   3   5 13  0  371  328  1  3  
48 5 5   1 11    13   18   8   19   0   11   1 8  0  1687  187  1  1  
49 12 6   34 27    8   7   17   15   3   13   34 11  0  3172  172  1  3  
50 23 5   4 6    19   6   12   17   3   13   21 20  0  1669  169  0  1  
51 0 6   21 9    20   16   5   16   9   0   21 20  0  3162  162  1  1  
52 5 6   29 33    0   11   15   8   20   19   29 15  0  3163  163  1  1  
53 8 3   24 22    2   4   19   17   14   19   22 14  0  656  156  0  3+  
54 2 1   25 8    16   20   6   8   1   16   25 20  0  418  218  1  1  
55 23 1   24 27    10   11   9   13   16   7   30 6  0  406  206  1  3  
56 7 5   30 26    5   4   19   17   13   15   26 17  0  1717  217  1  3  
57 17 6   16 24    17   13   7   0   11   12   24 10  0  3169  169  1  33  
58 10 0   2 13    12   7   0   15   5   0   13 0  0  327  284  1  1  
59 19 5   21 11    8   16   7   10   17   20   13 15  0  1671  171  1  3  
60 10 2   35 9    11   19   20   2   19   3   9 3  0  538  238  0  3  
61 3 3   27 25    14   5   11   15   12   13   27 5  0  703  203  1  1  
62 10 6   20 15    8   4   9   19   13   20   15 20  0  3177  177  1  3  
63 0 5   26 9    13   16   4   0   6   14   26 13  0  1649  149  1  33  
64 5 2   11 4    15   6   13   1   11   5   11 13  0  499  199  1  3  
65 19 2   21 32    17   20   11   4   5   10   4 11  0  527  227  1  3  
66 22 0   24 3    12   17   10   5   19   4   13 15  0  382  339  0  1  
67 6 5   13 35    6   19   14   6   14   10   35 6  0  1658  158  1  3  
68 20 2   30 20    10   13   0   19   5   11   35 6  0  499  199  0  1  
69 8 0   31 11    8   17   3   16   4   2   11 4  0  341  298  0  1  
70 21 6   15 34    2   18   12   19   5   2   13 6  0  3160  160  1  3  
71 11 6   13 8    20   2   16   6   16   20   8 20 1  0  0  0  0  
72 14 4   31 1    5   6   9   11   9   10   31 7  0  973  173  1  3  
73 19 1   0 9    19   18   17   6   4   18   1 9  0  441  241  1  3  
74 5 0   16 17    3   17   9   3   0   9   16 9  0  407  364  0  1  
75 18 1   10 9    0   6   10   15   1   17   17 3  0  364  164  1  1  
76 15 2   31 5    18   16   9   20   13   11   5 3  0  504  204  1  3  
77 15 4   20 0    4   8   17   10   6   9   0 16  0  967  167  0  3  
78 9 0   15 2    12   11   3   16   9   15   2 9  0  328  285  1  1  
79 8 6   1 21    6   18   11   2   19   15   21 19  0  3173  173  1  3  
80 22 6   2 27    15   18   19   10   12   18   31 18  0  3230  230  1  3  
81 16 2   31 33    12   18   6   12   7   9   33 15  0  516  216  1  3  
82 10 3   10 22    20   4   3   2   4   18   22 18  0  677  177  1  3  
83 3 2   5 32    13   5   20   14   8   10   5 5  0  501  201  0  1  
84 21 2   18 24    17   20   6   10   14   12   31 12  0  468  168  1  3  
85 11 1   31 29    11   1   14   13   3   6   29 6  0  421  221  1  3  
86 19 3   4 6    10   8   12   0   2   17   29 3  0  1146  646  0  1  
87 18 0   16 26    17   12   7   8   0   19   6 2  0  422  379  1  1  
88 8 5   3 33    9   15   18   9   6   1   33 6 1  0  0  0  0  
89 13 3   25 19    18   7   14   20   0   14   25 12  0  694  194  1  3  
90 13 6   8 3    6   10   1   10   18   6   8 11  0  3224  224  1  3  
91 20 4   10 35    5   14   15   9   11   5   3 10  0  974  174  1  3  
92 22 5   7 3    1   5   15   16   17   18   13 20  0  1686  186  1  3  
93 7 1   13 11    5   20   17   12   17   13   11 12  0  414  214  0  1  
94 9 6   30 5    14   10   6   16   2   19   5 2  0  3165  165  1  3  
95 14 1   33 35    6   16   7   18   7   4   33 13  0  416  216  1  3  
96 3 5   30 17    18   9   16   1   6   14   30 9  0  1669  169  1  3  
97 3 1   20 5    14   11   16   13   15   2   20 11  0  443  243  0  1  
98 7 2   23 24    2   5   6   17   16   6   24 17  0  471  171  0  3  
99 7 3   7 8    16   17   7   18   20   0   8 18  0  769  269  1  3  
100 5 1   17 18    7   0   11   9   5   12   17 11  0  359  159  1  3  
101 13 2   28 19    16   10   6   13   8   5   28 14  0  532  232  1  3  
102 21 1   4 25    8   1   11   18   1   7   10 5  0  460  260  1  2  
103 5 3   10 27    15   19   10   1   9   16   10 10  0  648  148  1  3  
104 1 0   22 4    7   0   19   15   4   16   22 7  0  349  306  0  1  
