sub dur iti acc rt correct resp ss ptrl
10 990 long 0 691 s d 3 inc
10 990 short 0 1176 d s 3 inc
10 5990 long 1 2299 d d 3 inc
10 990 long 1 1528 d d 3 cor
10 5990 medium 0 554 d s 3 cor
10 5990 short 1 888 d d 3 inc
10 5990 long 1 884 s s 3 cor
10 5990 short 0 993 d s 3 cor
10 990 medium 1 2075 d d 3 inc
10 11990 long 1 1079 s s 3 cor
10 11990 short 0 947 s d 3 cor
10 11990 short 0 1015 s d 3 cor
10 5990 medium 1 747 d d 3 inc
10 11990 medium 1 1136 s s 3 cor
10 11990 short 1 926 d d 3 cor
10 11990 medium 1 789 d d 3 cor
10 11990 long 1 490 d d 3 cor
11 990 long 1 1403 d d 3 cor
11 11990 short 1 2088 s s 3 cor
11 5990 short 0 1407 s d 3 cor
11 11990 medium 1 1610 d d 3 inc
11 5990 medium 1 1577 d d 3 cor
11 5990 short 0 1689 d s 3 cor
11 11990 short 1 1664 d d 3 inc
11 990 short 0 1387 d s 3 cor
11 990 short 1 1358 s s 3 inc
11 11990 short 1 2199 s s 3 cor
11 990 long 1 1830 s s 3 cor
11 5990 long 1 1823 s s 3 cor
11 5990 short 1 1752 s s 3 cor
11 990 medium 1 1579 d d 3 cor
11 5990 long 1 1574 d d 3 cor
11 5990 long 1 1362 d d 3 cor
11 990 medium 1 1451 s s 3 cor
11 990 long 1 2002 s s 3 cor
11 5990 long 0 2306 s d 3 cor
11 990 short 1 1272 s s 3 inc
11 5990 short 0 1387 d s 3 cor
11 990 medium 1 1512 s s 3 inc
11 5990 medium 1 2608 d d 3 cor
11 11990 short 0 2402 d s 3 cor
11 990 long 1 1896 d d 3 inc
11 11990 medium 1 1795 d d 3 cor
11 11990 long 1 2086 s s 3 cor
11 11990 long 1 2425 d d 3 cor
11 990 short 1 1563 d d 3 cor
11 5990 medium 1 2152 s s 3 cor
11 11990 long 1 2105 s s 3 cor
11 5990 medium 1 1549 s s 3 cor
11 11990 medium 0 1855 s d 3 cor
11 11990 long 1 1890 d d 3 inc
11 990 medium 1 1555 d d 3 cor
11 11990 long 1 2196 s s 3 cor
11 990 short 1 1638 d d 3 cor
11 990 medium 1 1349 s s 3 cor
11 5990 short 1 1339 d d 3 cor
11 5990 short 1 1389 d d 3 cor
11 11990 short 1 2919 d d 3 cor
11 5990 long 1 1430 d d 3 cor
11 5990 short 0 2060 s d 3 cor
11 11990 long 0 1702 d s 3 inc
11 11990 medium 1 1323 s s 3 inc
11 990 medium 0 1928 d s 3 cor
11 990 medium 1 1340 s s 3 inc
11 990 long 0 1454 d s 3 cor
11 11990 medium 0 1600 s d 3 inc
11 990 medium 1 1433 d d 3 inc
11 5990 short 1 1661 s s 3 cor
11 990 short 1 1843 s s 3 cor
11 11990 short 1 2009 s s 3 cor
11 11990 short 0 2113 s d 3 cor
11 990 long 1 1661 s s 3 inc
11 5990 medium 1 1545 s s 3 cor
11 11990 long 1 1726 s s 3 cor
11 5990 long 1 1910 s s 3 inc
11 5990 medium 1 1606 d d 3 cor
11 5990 medium 0 1623 s d 3 cor
11 11990 medium 1 1672 d d 3 inc
11 990 long 1 1555 s s 3 cor
11 990 short 1 1576 s s 3 cor
11 5990 medium 1 1359 d d 3 cor
11 990 short 0 1484 d s 3 cor
11 990 long 1 1514 d d 3 inc
11 5990 long 1 1641 s s 3 cor
11 5990 long 1 1505 d d 3 cor
11 11990 medium 1 1358 d d 3 cor
11 11990 long 1 1534 d d 3 cor
11 5990 long 1 1652 s s 3 cor
11 990 long 1 1290 d d 3 cor
11 990 medium 0 1858 d s 3 cor
11 990 medium 1 1469 s s 3 inc
11 990 medium 1 1319 s s 3 cor
11 5990 medium 1 1282 s s 3 cor
11 5990 long 0 1331 d s 3 cor
11 11990 short 1 1380 d d 3 inc
11 11990 short 1 1729 d d 3 cor
11 990 short 1 1172 s s 3 cor
11 11990 medium 1 1556 d d 3 cor
11 990 short 1 1414 d d 3 cor
11 11990 medium 1 1503 s s 3 cor
11 11990 short 1 1590 s s 3 cor
11 5990 short 1 1491 s s 3 cor
11 5990 medium 1 1501 s s 3 cor
11 990 short 0 1750 d s 3 cor
11 5990 long 0 1937 s d 3 inc
11 11990 short 1 1753 s s 3 inc
11 11990 long 1 1642 s s 3 cor
11 11990 long 1 1968 d d 3 cor
11 5990 short 1 1378 d d 3 cor
11 5990 short 1 1466 s s 3 cor
11 5990 medium 1 1454 d d 3 cor
11 11990 long 0 1748 s d 3 cor
11 11990 medium 1 1758 d d 3 inc
11 990 long 0 2149 s d 3 cor
11 11990 medium 1 1811 s s 3 inc
11 5990 long 1 1595 d d 3 cor
11 990 medium 1 1518 d d 3 cor
11 990 short 1 1370 s s 3 cor
11 5990 medium 1 1470 d d 3 cor
11 5990 short 1 1674 d d 3 cor
11 990 long 1 1279 d d 3 cor
11 11990 long 1 2110 d d 3 cor
11 990 long 1 1081 s s 3 cor
11 5990 short 1 1346 d d 3 cor
11 11990 medium 1 1520 d d 3 cor
11 990 medium 1 1544 s s 3 cor
11 11990 medium 1 2222 s s 3 cor
11 990 medium 1 2051 d d 3 cor
11 11990 medium 0 2048 d s 3 cor
11 11990 short 1 1858 s s 3 inc
11 5990 long 0 2292 s d 3 cor
11 990 long 1 1399 s s 3 inc
11 11990 long 0 1506 d s 3 cor
11 990 long 1 1499 d d 3 inc
11 990 medium 1 1388 s s 3 cor
11 990 short 0 1101 d s 3 cor
11 990 long 1 1452 s s 3 inc
11 11990 short 0 2165 s d 3 cor
11 5990 medium 1 1746 d d 3 inc
11 5990 long 1 1728 d d 3 cor
11 5990 short 0 1836 s d 3 cor
11 5990 medium 1 2137 d d 3 inc
11 990 short 1 1744 s s 3 cor
11 990 short 1 1338 d d 3 cor
11 5990 short 1 1448 d d 3 cor
11 5990 short 1 1584 s s 3 cor
11 11990 long 1 1661 d d 3 cor
11 5990 medium 1 1512 s s 3 cor
11 5990 long 1 1911 s s 3 cor
11 5990 medium 1 1927 s s 3 cor
11 11990 short 1 2094 d d 3 cor
11 11990 long 1 1768 s s 3 cor
11 990 medium 1 1502 d d 3 cor
11 11990 short 1 1470 d d 3 cor
11 11990 medium 1 1393 s s 3 cor
11 5990 long 0 1576 d s 3 cor
11 990 short 1 1793 s s 3 inc
11 990 long 1 1422 d d 3 cor
11 11990 long 1 1863 s s 3 cor
12 11990 medium 1 2147 s s 3 cor
12 5990 medium 1 2414 d d 3 cor
12 5990 short 0 2475 s d 3 cor
12 5990 medium 1 1414 s s 3 inc
12 990 short 1 1815 d d 3 cor
12 11990 long 1 1788 d d 3 cor
12 990 short 1 2107 s s 3 cor
12 11990 medium 0 2449 s d 3 cor
12 990 long 1 1679 s s 3 inc
12 990 long 1 2198 d d 3 cor
12 5990 short 1 2470 d d 3 cor
12 5990 short 1 1583 d d 3 inc
12 990 medium 1 1645 d d 3 cor
12 11990 medium 1 1511 d d 3 cor
12 990 medium 1 1952 s s 3 cor
12 5990 short 0 1623 s d 3 cor
12 11990 long 1 1486 s s 3 inc
12 11990 long 1 1631 d d 3 cor
12 990 short 1 1514 d d 3 cor
12 990 long 1 2264 d d 3 cor
12 11990 short 1 2132 d d 3 cor
12 11990 short 0 2495 d s 3 cor
12 5990 medium 1 1976 s s 3 inc
12 5990 long 1 1668 d d 3 cor
12 5990 long 1 2395 s s 3 cor
12 11990 short 1 1927 s s 3 cor
12 990 medium 1 1628 s s 3 cor
12 11990 medium 1 1514 d d 3 cor
12 990 long 1 1603 s s 3 cor
12 5990 medium 1 2594 d d 3 cor
12 990 medium 1 1399 d d 3 cor
12 990 short 1 1411 s s 3 cor
12 5990 long 1 1683 d d 3 cor
12 990 long 1 1663 d d 3 cor
12 990 medium 0 2573 d s 3 cor
12 990 short 1 1273 d d 3 inc
12 990 short 1 1162 s s 3 cor
12 11990 short 1 1551 s s 3 cor
12 5990 medium 1 1380 d d 3 cor
12 11990 short 1 2435 d d 3 cor
12 990 long 0 1420 d s 3 cor
12 5990 long 0 2760 d s 3 inc
12 5990 short 1 1532 d d 3 inc
12 5990 medium 0 1777 s d 3 cor
12 11990 long 1 1520 s s 3 inc
12 11990 medium 1 1692 d d 3 cor
12 990 short 1 1397 d d 3 cor
12 11990 long 1 1529 d d 3 cor
12 11990 medium 0 1475 s d 3 cor
12 11990 short 1 1978 s s 3 inc
12 5990 medium 0 2034 d s 3 cor
12 11990 long 0 1941 s d 3 inc
12 5990 long 1 1796 s s 3 inc
12 990 medium 1 1356 s s 3 cor
12 5990 short 1 2743 s s 3 cor
12 11990 short 0 1712 d s 3 cor
12 990 medium 1 1777 s s 3 inc
12 5990 short 1 1780 d d 3 cor
12 990 short 1 1266 s s 3 cor
12 11990 medium 1 1696 d d 3 cor
12 5990 short 1 1107 s s 3 cor
12 990 long 1 1564 s s 3 cor
12 11990 long 1 1676 d d 3 cor
12 990 long 1 1244 s s 3 cor
12 5990 medium 1 1357 s s 3 cor
12 990 medium 1 1734 d d 3 cor
12 5990 long 0 1500 s d 3 cor
12 990 long 1 1661 d d 3 cor
12 11990 short 1 1446 d d 3 cor
12 5990 medium 1 1532 s s 3 cor
12 990 short 1 1367 s s 3 cor
12 11990 long 1 1628 d d 3 cor
12 990 medium 1 1186 s s 3 cor
12 11990 medium 1 1563 d d 3 cor
12 11990 medium 0 1777 s d 3 cor
12 11990 short 1 1385 d d 3 inc
