    6     33      1      2      1     21      3      2      1      1      1     1.002     0.544     0.408      1      1      1    999    999    999  
    6     33      1      3      2    179      2      2      1      1      1     4.006     0.712     0.389      1      1      1    999    999    999  
    6     34      1      1      2    121      2      2      1      1      1     1.250     0.408     0.888      1      1      1    999    999    999  
    6     34      1      2      1      2      3      2      1      1      1     0.680     0.472     0.790      1      1      1    999    999    999  
    6     34      1      3      2    120      1      2      1      1      1     1.849     0.373     0.656      1      1      1    999    999    999  
    6     35      1      1      2    128      3      2      1      1      1     1.184     0.448     0.472      1      1      1    999    999    999  
    6     35      1      2      1     15      1      2      1      1      1     1.977     0.512     0.643      1      1      1    999    999    999  
    6     35      1      3      2    112      2      2      1      1      1     1.325     0.715     0.344      1      1      1    999    999    999  
    6     36      1      1      1     17      3      1      1      1      1     0.952     0.560     0.456      1      1      1    999    999    999  
    6     36      1      2      2    128      1      1      1      1      1     1.752     0.360     0.406      1      1      1    999    999    999  
    6     36      1      3      2    141      2      1      1      1      1     0.874     0.693     0.763      1      1      1    999    999    999  
    6     37      1      1      2    109      2      2      1      1      1     1.556     0.487     0.925      1      1      1    999    999    999  
    6     37      1      2      1     15      1      2      1      1      1     1.911     0.461     0.920      1      1      1    999    999    999  
    6     37      1      3      2    182      3      2      1      1      0     0.851     0.544     0.456      1      1      0    999    999    999  
    6     38      0      1      2    114      2      4      1      1      0     1.424     0.381     0.408      1      1      0    999    999    999  
    6     38      0      2      2    113      1      4      1      1      1     2.045     0.403     0.448      1      1      1    999    999    999  
    6     38      0      3      2    155      3      4      0      0      0     0.875     0.405     0.371      1      0      0     -1    999    999  
    6     39      0      1      2    123      3      4      1      0      1     1.328     0.440     0.863      1      0      1    999    999    999  
    6     39      0      2      2    134      1      4      1      1      1     1.702     0.381     0.333      1      1      1    999    999    999  
    6     39      0      3      2    190      2      4      1      0      1     0.988     0.641     0.544      1      0      1    999    999    999  
    6     40      1      1      1      9      2      1      1      1      1     2.309     0.710     0.604      1      1      1    999    999    999  
    6     40      1      2      2    155      3      1      1      1      1     1.216     0.405     0.810      1      1      1    999    999    999  
    6     40      1      3      2    156      1      1      1      1      1     1.547     0.397     0.795      1      1      1    999    999    999  
    6     41      1      1      1     13      3      1      1      1      1     1.689     0.543     0.928      1      1      1    999    999    999  
    6     41      1      2      2    134      2      1      1      1      1     0.960     1.072     0.432      1      1      1    999    999    999  
    6     41      1      3      2    129      1      1      1      1      1     1.925     0.459     0.717      1      1      1    999    999    999  
    6     42      0      1      2    109      1      4      1      1      1     1.770     0.971     0.742      1      1      1    999    999    999  
    6     42      0      2      2    176      3      4      0      0      1     1.192     0.680     0.576      0      0      1    999    999    999  
    6     42      0      3      2    173      2      4      0      0      1     2.066     0.536     0.656      1      0      1     -1    999    999  
    6     43      1      1      1      6      1      1      1      1      1    17.200     0.488     1.048      1      1      1    999    999    999  
    6     43      1      2      2    133      3      1      1      1      1     1.344     0.592     0.456      1      1      1    999    999    999  
    6     43      1      3      2    108      2      1      1      1      0     1.720     0.768     0.872      1      1      0    999    999    999  
    6     44      1      1      2    170      2      3      1      1      1     1.309     0.459     0.936      1      1      1    999    999    999  
    6     44      1      2      2    181      1      3      1      1      1     1.496     0.352     0.816      1      1      1    999    999    999  
    6     44      1      3      1     11      3      3      0      0      0     0.607     0.601     0.664      0      0      0    999    999    999  
