"TaskType" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "writtenSP" "outputorder" "TaskTypeKnow"
"Known" 1 1 22 22 12 4 "impulse" -1 -1 1
"Known" 1 1 22 22 12 5 "monkey" -1 -1 1
"Known" 1 1 22 22 12 6 "arrow" 12 3 1
"Known" 1 1 22 22 12 7 "crystal" -1 -1 1
"Known" 1 1 22 22 12 8 "legal" -1 -1 1
"Known" 1 1 22 22 12 9 "adopt" -1 -1 1
"Known" 1 1 22 22 12 10 "degree" -1 -1 1
"Known" 1 1 22 22 12 11 "dollar" 11 2 1
"Known" 1 1 22 22 12 12 "sulphur" -1 -1 1
"Known" 1 1 23 23 12 1 "theater" 1 1 1
"Known" 1 1 23 23 12 2 "always" 2 2 1
"Known" 1 1 23 23 12 3 "salute" 3 3 1
"Known" 1 1 23 23 12 4 "asleep" 4 4 1
"Known" 1 1 23 23 12 5 "indeed" -1 -1 1
"Known" 1 1 23 23 12 6 "money" -1 -1 1
"Known" 1 1 23 23 12 7 "menace" -1 -1 1
"Known" 1 1 23 23 12 8 "doorway" -1 -1 1
"Known" 1 1 23 23 12 9 "further" -1 -1 1
"Known" 1 1 23 23 12 10 "final" -1 -1 1
"Known" 1 1 23 23 12 11 "pocket" -1 -1 1
"Known" 1 1 23 23 12 12 "market" -1 -1 1
"Known" 1 1 24 24 12 1 "many" -1 -1 1
"Known" 1 1 24 24 12 2 "palace" 2 1 1
"Known" 1 1 24 24 12 3 "mirror" -1 -1 1
"Known" 1 1 24 24 12 4 "poem" -1 -1 1
"Known" 1 1 24 24 12 5 "clothing" -1 -1 1
"Known" 1 1 24 24 12 6 "sheriff" 5 2 1
"Known" 1 1 24 24 12 7 "emerge" -1 -1 1
"Known" 1 1 24 24 12 8 "arrive" -1 -1 1
"Known" 1 1 24 24 12 9 "twinkle" -1 -1 1
"Known" 1 1 24 24 12 10 "vanish" -1 -1 1
"Known" 1 1 24 24 12 11 "evening" -1 -1 1
"Known" 1 1 24 24 12 12 "utmost" -1 -1 1
"Known" 1 2 1 25 3 1 "garment" 1 1 1
"Known" 1 2 1 25 3 2 "eager" 2 2 1
"Known" 1 2 1 25 3 3 "beaten" 3 3 1
"Known" 1 2 2 26 3 1 "barrel" 1 1 1
"Known" 1 2 2 26 3 2 "invite" 2 2 1
"Known" 1 2 2 26 3 3 "absence" 3 3 1
"Known" 1 2 3 27 3 1 "question" 1 1 1
"Known" 1 2 3 27 3 2 "almost" 2 2 1
"Known" 1 2 3 27 3 3 "women" 3 3 1
"Known" 1 2 4 28 3 1 "renew" 1 1 1
"Known" 1 2 4 28 3 2 "vital" 2 2 1
"Known" 1 2 4 28 3 3 "achieve" 3 3 1
"Known" 1 2 5 29 3 1 "until" -1 -1 1
"Known" 1 2 5 29 3 2 "deny" -1 -1 1
"Known" 1 2 5 29 3 3 "patent" 2 2 1
"Known" 1 2 6 30 3 1 "machine" 1 1 1
"Known" 1 2 6 30 3 2 "device" 2 2 1
"Known" 1 2 6 30 3 3 "worker" 3 3 1
"Known" 1 2 7 31 3 1 "costly" 1 1 1
"Known" 1 2 7 31 3 2 "rabbit" 2 2 1
"Known" 1 2 7 31 3 3 "linen" 3 3 1
"Known" 1 2 8 32 3 1 "commence" 1 1 1
"Known" 1 2 8 32 3 2 "candle" -1 -1 1
"Known" 1 2 8 32 3 3 "willow" -1 -1 1
"Known" 1 2 9 33 1 1 "softly" 1 1 1
"Known" 1 2 10 34 1 1 "unto" 1 1 1
"Known" 1 2 11 35 1 1 "conceal" 1 1 1
"Known" 1 2 12 36 1 1 "attract" 1 1 1
"Known" 1 2 13 37 1 1 "conceive" 1 1 1
"Known" 1 2 14 38 1 1 "pursuit" 1 1 1
"Known" 1 2 15 39 1 1 "prison" 1 1 1
"Known" 1 2 16 40 1 1 "meadow" 1 1 1
"Known" 1 2 17 41 10 1 "wretched" -1 -1 1
"Known" 1 2 17 41 10 2 "afford" 2 1 1
"Known" 1 2 17 41 10 3 "splendid" -1 -1 1
"Known" 1 2 17 41 10 4 "column" -1 -1 1
"Known" 1 2 17 41 10 5 "bedroom" 5 2 1
"Known" 1 2 17 41 10 6 "declare" -1 -1 1
"Known" 1 2 17 41 10 7 "hotel" -1 -1 1
"Known" 1 2 17 41 10 8 "about" -1 -1 1
"Known" 1 2 17 41 10 9 "tiger" 10 3 1
"Known" 1 2 17 41 10 10 "only" -1 -1 1
"Known" 1 2 18 42 10 1 "western" 1 1 1
"Known" 1 2 18 42 10 2 "allow" 2 2 1
"Known" 1 2 18 42 10 3 "rejoice" -1 -1 1
"Known" 1 2 18 42 10 4 "consult" -1 -1 1
"Known" 1 2 18 42 10 5 "reveal" -1 -1 1
"Known" 1 2 18 42 10 6 "parlor" -1 -1 1
"Known" 1 2 18 42 10 7 "tumble" -1 -1 1
"Known" 1 2 18 42 10 8 "ugly" -1 -1 1
"Known" 1 2 18 42 10 9 "southern" 9 3 1
"Known" 1 2 18 42 10 10 "whisper" 10 4 1
"Known" 1 2 19 43 10 1 "puzzle" 1 1 1
"Known" 1 2 19 43 10 2 "suggest" 2 2 1
"Known" 1 2 19 43 10 3 "lion" 3 3 1
"Known" 1 2 19 43 10 4 "handle" -1 -1 1
"Known" 1 2 19 43 10 5 "beside" -1 -1 1
"Known" 1 2 19 43 10 6 "berry" -1 -1 1
"Known" 1 2 19 43 10 7 "bottom" -1 -1 1
"Known" 1 2 19 43 10 8 "remark" -1 -1 1
"Known" 1 2 19 43 10 9 "sprinkle" 10 4 1
"Known" 1 2 19 43 10 10 "river" -1 -1 1
"Known" 1 2 20 44 10 1 "student" 1 1 1
"Known" 1 2 20 44 10 2 "harvest" 2 2 1
"Known" 1 2 20 44 10 3 "status" -1 -1 1
"Known" 1 2 20 44 10 4 "payment" 3 3 1
"Known" 1 2 20 44 10 5 "plainly" -1 -1 1
"Known" 1 2 20 44 10 6 "lightly" -1 -1 1
"Known" 1 2 20 44 10 7 "resolve" -1 -1 1
"Known" 1 2 20 44 10 8 "require" -1 -1 1
"Known" 1 2 20 44 10 9 "sacred" -1 -1 1
"Known" 1 2 20 44 10 10 "success" 4 4 1
"Known" 1 2 21 45 10 1 "surface" -1 -1 1
"Known" 1 2 21 45 10 2 "squirrel" -1 -1 1
"Known" 1 2 21 45 10 3 "speaker" -1 -1 1
"Known" 1 2 21 45 10 4 "bitter" -1 -1 1
"Known" 1 2 21 45 10 5 "quarter" -1 -1 1
"Known" 1 2 21 45 10 6 "pardon" -1 -1 1
"Known" 1 2 21 45 10 7 "owner" -1 -1 1
"Known" 1 2 21 45 10 8 "helpless" 1 1 1
"Known" 1 2 21 45 10 9 "mother" 2 2 1
"Known" 1 2 21 45 10 10 "slumber" 3 3 1
"Known" 1 2 22 46 10 1 "behind" -1 -1 1
"Known" 1 2 22 46 10 2 "shepherd" -1 -1 1
"Known" 1 2 22 46 10 3 "pasture" -1 -1 1
"Known" 1 2 22 46 10 4 "abide" -1 -1 1
"Known" 1 2 22 46 10 5 "autumn" -1 -1 1
"Known" 1 2 22 46 10 6 "empire" -1 -1 1
"Known" 1 2 22 46 10 7 "latter" -1 -1 1
"Known" 1 2 22 46 10 8 "render" -1 -1 1
"Known" 1 2 22 46 10 9 "factor" -1 -1 1
"Known" 1 2 22 46 10 10 "sadly" 10 1 1
"Known" 1 2 23 47 10 1 "channel" -1 -1 1
