"Knownlength" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "outputorder" "LengthKnow"
"Known" 1 3 24 72 4 4 "alive" 1 1
"Known" 1 4 1 73 7 1 "consult" -1 1
"Known" 1 4 1 73 7 2 "accuse" -1 1
"Known" 1 4 1 73 7 3 "peaceful" -1 1
"Known" 1 4 1 73 7 4 "picture" 4 1
"Known" 1 4 1 73 7 5 "contract" 2 1
"Known" 1 4 1 73 7 6 "conceive" 1 1
"Known" 1 4 1 73 7 7 "although" 3 1
"Known" 1 4 2 74 7 1 "chairman" 2 1
"Known" 1 4 2 74 7 2 "convey" -1 1
"Known" 1 4 2 74 7 3 "coffee" 1 1
"Known" 1 4 2 74 7 4 "listen" -1 1
"Known" 1 4 2 74 7 5 "receipt" -1 1
"Known" 1 4 2 74 7 6 "gravely" 4 1
"Known" 1 4 2 74 7 7 "enter" 3 1
"Known" 1 4 3 75 7 1 "request" -1 1
"Known" 1 4 3 75 7 2 "suffer" -1 1
"Known" 1 4 3 75 7 3 "merchant" 4 1
"Known" 1 4 3 75 7 4 "dispute" -1 1
"Known" 1 4 3 75 7 5 "awful" 3 1
"Known" 1 4 3 75 7 6 "estate" 1 1
"Known" 1 4 3 75 7 7 "explain" 2 1
"Known" 1 4 4 76 7 1 "artist" -1 1
"Known" 1 4 4 76 7 2 "section" -1 1
"Known" 1 4 4 76 7 3 "perform" 5 1
"Known" 1 4 4 76 7 4 "pepper" 3 1
"Known" 1 4 4 76 7 5 "heavy" 4 1
"Known" 1 4 4 76 7 6 "account" 2 1
"Known" 1 4 4 76 7 7 "stocking" 1 1
"Known" 1 4 5 77 7 1 "alter" 4 1
"Known" 1 4 5 77 7 2 "fabric" -1 1
"Known" 1 4 5 77 7 3 "player" -1 1
"Known" 1 4 5 77 7 4 "answer" -1 1
"Known" 1 4 5 77 7 5 "research" 3 1
"Known" 1 4 5 77 7 6 "fever" 1 1
"Known" 1 4 5 77 7 7 "jersey" 2 1
"Known" 1 4 6 78 7 1 "matter" -1 1
"Known" 1 4 6 78 7 2 "chapter" -1 1
"Known" 1 4 6 78 7 3 "weapon" -1 1
"Known" 1 4 6 78 7 4 "rabbit" 4 1
"Known" 1 4 6 78 7 5 "salute" 2 1
"Known" 1 4 6 78 7 6 "diet" 3 1
"Known" 1 4 6 78 7 7 "manner" 1 1
"Known" 1 4 7 79 7 1 "aboard" -1 1
"Known" 1 4 7 79 7 2 "prevent" -1 1
"Known" 1 4 7 79 7 3 "rider" -1 1
"Known" 1 4 7 79 7 4 "parent" 3 1
"Known" 1 4 7 79 7 5 "attain" -1 1
"Known" 1 4 7 79 7 6 "absorb" 1 1
"Known" 1 4 7 79 7 7 "venture" 2 1
"Known" 1 4 8 80 7 1 "sometime" -1 1
"Known" 1 4 8 80 7 2 "eagle" -1 1
"Known" 1 4 8 80 7 3 "traffic" -1 1
"Known" 1 4 8 80 7 4 "prairie" 1 1
"Known" 1 4 8 80 7 5 "unit" -1 1
"Known" 1 4 8 80 7 6 "tumble" 3 1
"Known" 1 4 8 80 7 7 "patent" 2 1
"Known" 1 4 9 81 15 1 "hither" -1 1
"Known" 1 4 9 81 15 2 "mistake" -1 1
"Known" 1 4 9 81 15 3 "column" -1 1
"Known" 1 4 9 81 15 4 "pocket" -1 1
"Known" 1 4 9 81 15 5 "painter" 4 1
"Known" 1 4 9 81 15 6 "mistress" -1 1
"Known" 1 4 9 81 15 7 "prayer" 5 1
"Known" 1 4 9 81 15 8 "release" -1 1
"Known" 1 4 9 81 15 9 "series" -1 1
"Known" 1 4 9 81 15 10 "orchard" 7 1
"Known" 1 4 9 81 15 11 "mingle" -1 1
"Known" 1 4 9 81 15 12 "pilot" -1 1
"Known" 1 4 9 81 15 13 "decrease" 3 1
"Known" 1 4 9 81 15 14 "legal" 2 1
"Known" 1 4 9 81 15 15 "navy" 1 1
"Known" 1 4 10 82 15 1 "contain" 4 1
"Known" 1 4 10 82 15 2 "neglect" -1 1
"Known" 1 4 10 82 15 3 "farewell" -1 1
"Known" 1 4 10 82 15 4 "charming" -1 1
"Known" 1 4 10 82 15 5 "surface" 5 1
"Known" 1 4 10 82 15 6 "genius" -1 1
"Known" 1 4 10 82 15 7 "combine" -1 1
"Known" 1 4 10 82 15 8 "passage" -1 1
"Known" 1 4 10 82 15 9 "climate" -1 1
"Known" 1 4 10 82 15 10 "comfort" -1 1
"Known" 1 4 10 82 15 11 "autumn" -1 1
"Known" 1 4 10 82 15 12 "planet" 3 1
"Known" 1 4 10 82 15 13 "recent" -1 1
"Known" 1 4 10 82 15 14 "weary" 2 1
"Known" 1 4 10 82 15 15 "pupil" 1 1
