"rep(1, length(dats[, 1]))" "Sess" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
1 555 6 11 1 2 0 0 1 0.445 TRUE
1 555 6 12 4 3 0 1 0 0.861 TRUE
1 555 6 13 5 3 1 1 1 0.754 TRUE
1 555 6 14 1 1 1 1 1 0.498 TRUE
1 555 6 15 3 2 1 1 1 0.624 TRUE
1 555 6 16 5 1 1 1 1 0.575 TRUE
1 555 6 17 3 4 0 0 1 0.876 FALSE
1 555 6 18 2 2 1 1 1 0.441 TRUE
1 555 6 19 3 4 0 0 1 0.501 TRUE
1 555 6 20 5 4 1 1 1 0.566 TRUE
1 555 6 21 5 6 0 0 1 0.552 TRUE
1 555 6 22 5 6 0 0 1 0.751 TRUE
1 555 6 23 2 3 0 0 1 0.542 TRUE
1 555 6 24 4 5 0 0 1 0.527 TRUE
1 555 6 25 3 3 1 1 1 0.48 TRUE
1 555 6 26 4 5 0 0 1 0.59 TRUE
1 555 6 27 2 1 1 1 1 0.575 TRUE
1 555 6 28 4 1 1 1 1 0.469 TRUE
1 555 6 29 5 5 1 1 1 0.496 TRUE
1 555 6 30 5 2 0 1 0 0.484 TRUE
1 555 7 1 3 4 0 0 1 0.445 TRUE
1 555 7 2 4 5 0 0 1 0.442 TRUE
1 555 7 3 4 4 1 1 1 0.415 TRUE
1 555 7 4 5 6 0 0 1 0.472 TRUE
1 555 7 5 2 2 1 1 1 0.58 TRUE
1 555 7 6 3 3 1 1 1 0.457 TRUE
1 555 7 7 5 2 0 1 0 0.828 TRUE
1 555 7 8 3 2 1 1 1 0.856 FALSE
1 555 7 9 5 3 1 1 1 0.855 TRUE
1 555 7 10 5 6 0 0 1 0.787 TRUE
1 555 7 11 3 4 0 0 1 0.499 TRUE
1 555 7 12 5 6 0 0 1 0.556 TRUE
1 555 7 13 4 5 0 0 1 0.517 TRUE
1 555 7 14 5 4 1 1 1 0.589 TRUE
1 555 7 15 2 1 0 1 0 0.995 FALSE
1 555 7 16 5 1 0 1 0 0.472 TRUE
1 555 7 17 3 1 1 1 1 0.534 TRUE
1 555 7 18 5 5 1 1 1 0.462 TRUE
1 555 7 19 4 2 1 1 1 1.104 FALSE
1 555 7 20 4 1 1 1 1 0.542 TRUE
1 555 7 21 5 6 0 0 1 0.559 TRUE
1 555 7 22 4 5 0 0 1 0.978 FALSE
1 555 7 23 4 3 1 1 1 0.579 TRUE
1 555 7 24 3 4 0 0 1 0.462 TRUE
1 555 7 25 1 2 0 0 1 0.751 FALSE
1 555 7 26 1 1 1 1 1 0.532 TRUE
1 555 7 27 5 6 0 0 1 0.601 TRUE
1 555 7 28 2 3 0 0 1 0.512 TRUE
1 555 7 29 2 3 0 0 1 0.537 TRUE
1 555 7 30 4 5 0 0 1 0.71 TRUE
1 555 8 1 5 2 1 1 1 0.741 TRUE
1 555 8 2 2 1 1 1 1 0.529 TRUE
1 555 8 3 3 3 1 1 1 0.506 TRUE
1 555 8 4 5 6 1 0 0 0.606 TRUE
1 555 8 5 5 6 1 0 0 1.087 FALSE
1 555 8 6 2 2 1 1 1 0.453 TRUE
1 555 8 7 5 5 1 1 1 0.61 TRUE
1 555 8 8 3 4 0 0 1 0.548 TRUE
1 555 8 9 4 5 0 0 1 0.546 TRUE
1 555 8 10 3 2 1 1 1 0.663 TRUE
1 555 8 11 1 1 1 1 1 0.42 TRUE
1 555 8 12 4 5 0 0 1 0.532 TRUE
1 555 8 13 3 1 1 1 1 0.507 TRUE
1 555 8 14 4 3 1 1 1 0.651 TRUE
1 555 8 15 3 4 0 0 1 0.504 TRUE
1 555 8 16 5 6 0 0 1 0.667 TRUE
1 555 8 17 5 1 1 1 1 0.638 TRUE
1 555 8 18 3 4 0 0 1 0.522 TRUE
1 555 8 19 5 3 1 1 1 0.674 TRUE
1 555 8 20 5 6 0 0 1 1.13 FALSE
1 555 8 21 4 5 0 0 1 0.636 TRUE
1 555 8 22 4 5 0 0 1 0.645 TRUE
1 555 8 23 2 3 0 0 1 0.478 TRUE
1 555 8 24 2 3 0 0 1 0.438 TRUE
1 555 8 25 1 2 0 0 1 0.563 TRUE
1 555 8 26 4 1 1 1 1 0.576 TRUE
1 555 8 27 5 6 0 0 1 0.527 TRUE
1 555 8 28 4 4 1 1 1 0.54 TRUE
1 555 8 29 4 2 1 1 1 0.602 TRUE
1 555 8 30 5 4 1 1 1 0.49 TRUE
1 555 9 1 2 3 0 0 1 0.497 TRUE
1 555 9 2 1 2 0 0 1 0.481 TRUE
1 555 9 3 3 4 0 0 1 0.547 TRUE
1 555 9 4 3 3 1 1 1 0.473 TRUE
1 555 9 5 5 1 0 1 0 0.862 TRUE
1 555 9 6 4 5 0 0 1 0.613 TRUE
1 555 9 7 4 3 1 1 1 0.557 TRUE
1 555 9 8 4 2 1 1 1 0.78 TRUE
1 555 9 9 3 1 1 1 1 0.675 TRUE
1 555 9 10 1 1 1 1 1 0.408 TRUE
1 555 9 11 3 2 1 1 1 0.518 TRUE
1 555 9 12 5 2 1 1 1 0.719 TRUE
1 555 9 13 4 5 0 0 1 0.574 TRUE
1 555 9 14 5 3 1 1 1 1.147 FALSE
1 555 9 15 3 4 0 0 1 0.55 TRUE
1 555 9 16 2 3 0 0 1 0.444 TRUE
1 555 9 17 5 6 0 0 1 0.539 TRUE
1 555 9 18 5 5 1 1 1 0.452 TRUE
1 555 9 19 5 4 0 1 0 1.457 FALSE
1 555 9 20 5 6 0 0 1 1.122 FALSE
1 555 9 21 3 4 0 0 1 0.486 TRUE
1 555 9 22 2 2 1 1 1 0.481 TRUE
1 555 9 23 2 1 1 1 1 0.454 TRUE
1 555 9 24 4 5 0 0 1 0.495 TRUE
1 555 9 25 4 5 0 0 1 0.506 TRUE
1 555 9 26 5 6 0 0 1 0.68 TRUE
1 555 9 27 5 6 0 0 1 0.638 TRUE
1 555 9 28 4 1 1 1 1 0.681 TRUE
1 555 9 29 4 4 1 1 1 0.519 TRUE
1 555 9 30 5 6 0 0 1 0.52 TRUE
1 555 10 1 3 2 1 1 1 0.695 TRUE
1 555 10 2 5 2 0 1 0 0.463 TRUE
1 555 10 3 5 6 0 0 1 0.693 TRUE
1 555 10 4 2 2 1 1 1 0.723 FALSE
1 555 10 5 5 3 1 1 1 0.719 TRUE
