"rep(2, length(dats[, 1]))" "dat[, 1]" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
2 154 7 15 5 2 1 1 1 0.778 TRUE
2 154 7 16 2 3 0 0 1 0.643 TRUE
2 154 7 17 1 2 0 0 1 0.65 TRUE
2 154 7 18 3 4 0 0 1 0.648 TRUE
2 154 7 19 3 2 1 1 1 0.897 TRUE
2 154 7 20 3 4 0 0 1 1.154 FALSE
2 154 7 21 5 6 0 0 1 1.049 TRUE
2 154 7 22 1 1 1 1 1 0.651 TRUE
2 154 7 23 5 5 1 1 1 0.625 TRUE
2 154 7 24 4 5 0 0 1 3.198 FALSE
2 154 7 25 5 6 0 0 1 2.778 FALSE
2 154 7 26 4 4 1 1 1 0.655 TRUE
2 154 7 27 3 3 1 1 1 0.544 TRUE
2 154 7 28 4 3 1 1 1 0.593 TRUE
2 154 7 29 2 1 1 1 1 0.609 TRUE
2 154 7 30 4 5 0 0 1 0.828 TRUE
2 154 8 1 3 4 0 0 1 0.75 TRUE
2 154 8 2 3 3 1 1 1 0.722 TRUE
2 154 8 3 1 2 0 0 1 0.478 TRUE
2 154 8 4 5 6 0 0 1 0.608 TRUE
2 154 8 5 4 2 1 1 1 0.686 TRUE
2 154 8 6 2 3 0 0 1 0.537 TRUE
2 154 8 7 3 2 1 1 1 0.571 TRUE
2 154 8 8 2 3 0 0 1 0.573 TRUE
2 154 8 9 5 6 0 0 1 0.669 TRUE
2 154 8 10 1 1 1 1 1 0.525 TRUE
2 154 8 11 4 5 0 0 1 0.853 TRUE
2 154 8 12 4 4 1 1 1 0.576 TRUE
2 154 8 13 3 1 1 1 1 1.655 FALSE
2 154 8 14 4 3 1 1 1 0.653 TRUE
2 154 8 15 5 1 1 1 1 0.734 TRUE
2 154 8 16 3 4 0 0 1 0.948 TRUE
2 154 8 17 5 6 0 0 1 1.081 TRUE
2 154 8 18 4 5 0 0 1 0.759 TRUE
2 154 8 19 5 6 0 0 1 0.854 TRUE
2 154 8 20 5 4 1 1 1 1.037 TRUE
2 154 8 21 3 4 0 0 1 0.64 TRUE
2 154 8 22 5 3 1 1 1 0.718 TRUE
2 154 8 23 4 5 0 0 1 0.76 TRUE
2 154 8 24 4 5 0 0 1 0.674 TRUE
2 154 8 25 4 1 1 1 1 0.66 TRUE
2 154 8 26 5 5 1 1 1 0.525 TRUE
2 154 8 27 2 1 1 1 1 0.593 TRUE
2 154 8 28 5 6 0 0 1 0.741 TRUE
2 154 8 29 2 2 1 1 1 0.531 TRUE
2 154 8 30 5 2 1 1 1 0.794 TRUE
2 154 9 1 4 4 1 1 1 0.678 TRUE
2 154 9 2 4 5 0 0 1 0.674 TRUE
2 154 9 3 3 4 0 0 1 0.572 TRUE
2 154 9 4 5 1 1 1 1 0.612 TRUE
2 154 9 5 5 6 0 0 1 1.027 TRUE
2 154 9 6 2 2 1 1 1 0.606 TRUE
2 154 9 7 3 1 1 1 1 0.574 TRUE
2 154 9 8 5 6 0 0 1 0.824 TRUE
2 154 9 9 3 2 1 1 1 1.021 FALSE
2 154 9 10 5 6 0 0 1 0.868 TRUE
2 154 9 11 5 5 1 1 1 0.59 TRUE
2 154 9 12 5 6 0 0 1 1.623 TRUE
2 154 9 13 3 4 0 0 1 0.724 TRUE
2 154 9 14 4 5 0 0 1 2.188 FALSE
2 154 9 15 5 3 1 1 1 0.617 TRUE
2 154 9 16 5 2 1 1 1 0.856 TRUE
2 154 9 17 2 3 0 0 1 0.699 TRUE
2 154 9 18 2 3 0 0 1 0.689 TRUE
2 154 9 19 4 5 0 0 1 1.176 TRUE
2 154 9 20 1 1 1 1 1 0.687 TRUE
2 154 9 21 3 4 0 0 1 0.551 TRUE
2 154 9 22 2 1 1 1 1 0.568 TRUE
2 154 9 23 4 3 1 1 1 0.77 TRUE
2 154 9 24 5 4 1 1 1 0.573 TRUE
2 154 9 25 1 2 0 0 1 0.679 TRUE
2 154 9 26 4 5 0 0 1 0.641 TRUE
2 154 9 27 3 3 1 1 1 0.545 TRUE
2 154 9 28 5 6 0 0 1 1.218 TRUE
2 154 9 29 4 2 1 1 1 1.007 TRUE
2 154 9 30 4 1 1 1 1 0.816 TRUE
2 154 10 1 4 3 1 1 1 0.619 TRUE
2 154 10 2 4 4 1 1 1 0.923 FALSE
2 154 10 3 5 6 0 0 1 0.814 TRUE
2 154 10 4 4 5 0 0 1 0.782 TRUE
2 154 10 5 4 1 1 1 1 1.064 FALSE
2 154 10 6 5 6 0 0 1 0.62 TRUE
2 154 10 7 4 5 0 0 1 0.807 TRUE
2 154 10 8 3 4 0 0 1 0.877 TRUE
2 154 10 9 5 1 1 1 1 0.602 TRUE
2 154 10 10 3 4 0 0 1 0.619 TRUE
2 154 10 11 3 4 0 0 1 0.515 TRUE
2 154 10 12 3 3 1 1 1 0.566 TRUE
2 154 10 13 5 3 1 1 1 1.532 TRUE
2 154 10 14 5 6 0 0 1 0.95 TRUE
2 154 10 15 2 2 1 1 1 0.579 TRUE
2 154 10 16 1 1 1 1 1 0.519 TRUE
2 154 10 17 4 5 0 0 1 1.16 TRUE
2 154 10 18 3 1 1 1 1 0.554 TRUE
2 154 10 19 5 5 1 1 1 0.565 TRUE
2 154 10 20 5 6 0 0 1 0.802 TRUE
2 154 10 21 2 3 0 0 1 0.621 TRUE
2 154 10 22 5 2 1 1 1 0.871 TRUE
2 154 10 23 4 5 0 0 1 0.937 TRUE
2 154 10 24 1 2 0 0 1 0.641 TRUE
2 154 10 25 5 4 1 1 1 0.848 TRUE
2 154 10 26 4 2 1 1 1 0.641 TRUE
2 154 10 27 5 6 0 0 1 0.694 TRUE
2 154 10 28 2 1 1 1 1 0.513 TRUE
2 154 10 29 2 3 0 0 1 0.505 TRUE
2 154 10 30 3 2 1 1 1 0.59 TRUE
2 155 1 1 1 1 1 1 1 9.247 FALSE
2 155 1 2 1 2 0 0 1 0.719 TRUE
2 155 1 3 5 6 0 0 1 1.063 TRUE
2 155 1 4 5 4 1 1 1 0.756 TRUE
2 155 1 5 5 6 0 0 1 1.939 FALSE
2 155 1 6 3 4 0 0 1 0.692 TRUE
2 155 1 7 5 5 1 1 1 1.12 TRUE
2 155 1 8 4 3 1 1 1 0.691 TRUE
2 155 1 9 3 4 0 0 1 0.649 TRUE
2 155 1 10 3 2 1 1 1 0.597 TRUE
2 155 1 11 4 5 0 0 1 0.58 TRUE
2 155 1 12 2 2 1 1 1 0.582 TRUE
2 155 1 13 4 4 1 1 1 0.479 TRUE
2 155 1 14 3 3 1 1 1 0.499 TRUE
2 155 1 15 2 1 1 1 1 0.524 TRUE
2 155 1 16 5 6 0 0 1 0.871 TRUE
2 155 1 17 4 5 0 0 1 0.645 TRUE
2 155 1 18 3 4 0 0 1 0.673 TRUE
2 155 1 19 5 2 1 1 1 0.693 TRUE
2 155 1 20 5 6 0 0 1 0.887 TRUE
2 155 1 21 4 5 0 0 1 0.944 TRUE
2 155 1 22 5 1 1 1 1 0.571 TRUE
2 155 1 23 4 1 1 1 1 0.473 TRUE
2 155 1 24 4 5 0 0 1 0.785 TRUE
2 155 1 25 4 2 1 1 1 0.54 TRUE
