subj_idx,CSI,size,probe,rt,correct,stim,response
20,400,2,int,1.5639,1,1,0
10,2000,8,neg,1.5639,1,1,0
13,2000,2,neg,1.5639,1,1,0
17,No,6,int,1.5639,1,1,0
2,No,6,pos,1.5641,1,2,1
2,400,4,int,1.5642,1,1,0
10,2000,8,pos,1.5643,0,2,0
16,100,6,int,1.5661,1,1,0
15,100,6,pos,1.5677,1,2,1
15,100,4,pos,1.5679,1,2,1
9,100,6,pos,1.5679,1,2,1
8,100,8,pos,1.568,0,2,0
18,No,6,int,1.5688,1,1,0
18,No,2,int,1.569,1,1,0
1,100,6,pos,1.5702,0,2,0
5,2000,4,neg,1.5705,0,1,1
10,No,8,pos,1.5705,1,2,1
12,No,6,pos,1.5705,1,2,1
18,No,8,int,1.5708,1,1,0
3,No,8,pos,1.5709,0,2,0
9,400,8,pos,1.5711,1,2,1
18,2000,6,int,1.5713,1,1,0
15,No,4,int,1.5714,1,1,0
20,2000,6,int,1.5716,0,1,1
21,No,8,int,1.5716,1,1,0
6,No,6,pos,1.5716,1,2,1
7,400,2,int,1.5717,0,1,1
2,2000,8,int,1.5718,1,1,0
2,No,8,neg,1.5719,1,1,0
15,No,6,pos,1.572,1,2,1
15,400,2,pos,1.5721,1,2,1
18,400,2,pos,1.5722,1,2,1
1,No,2,neg,1.5723,1,1,0
17,2000,2,int,1.5723,1,1,0
12,No,8,int,1.5724,0,1,1
23,400,8,int,1.5726,1,1,0
1,2000,6,int,1.5732,1,1,0
12,100,8,neg,1.5749,1,1,0
10,100,8,int,1.5756,1,1,0
10,100,8,pos,1.5757,1,2,1
17,100,8,pos,1.5757,1,2,1
16,100,2,pos,1.5759,1,2,1
2,100,2,int,1.576,1,1,0
21,100,8,int,1.576,1,1,0
17,100,6,pos,1.5764,1,2,1
2,400,2,int,1.5767,1,1,0
2,100,8,neg,1.5767,1,1,0
24,No,6,int,1.5767,1,1,0
12,No,8,int,1.5767,0,1,1
9,100,6,pos,1.5767,1,2,1
3,100,8,pos,1.5773,1,2,1
10,2000,8,pos,1.5773,1,2,1
23,No,6,pos,1.5773,0,2,0
12,No,6,pos,1.5779,1,2,1
5,400,4,neg,1.5785,1,1,0
1,100,4,int,1.5786,1,1,0
5,400,8,pos,1.5788,0,2,0
20,400,8,pos,1.5788,1,2,1
18,No,2,int,1.5788,1,1,0
16,2000,4,int,1.579,1,1,0
20,No,8,int,1.5792,1,1,0
21,2000,4,pos,1.5792,1,2,1
15,No,6,pos,1.5794,1,2,1
23,No,4,int,1.5794,1,1,0
15,No,4,pos,1.5795,1,2,1
15,2000,8,pos,1.5796,0,2,0
8,2000,2,int,1.5796,1,1,0
17,2000,2,pos,1.5796,1,2,1
21,No,4,int,1.5797,1,1,0
15,400,8,pos,1.5798,1,2,1
