1 148 1 1 2 3 4 5 6 7 8  1584  1318  490  5800  1394  490  2373  302 
1 149 1 1 2 3 7 5 4 6 8  757  415  6440  452  2185  415  392  227 
1 150 1 1 2 3 4 6 8 5 7  795  386  716  377  3352  640  1017  377 
1 151 1 1 2 3 4 5 6 7 8  887  952  603  640  490  302  302  152 
1 152 1 1 5 4 8 6 2 3 7  531  377  340  1657  1772  415  883  754 
1 153 1 1 2 3 4 5 6 7 8  380  381  302  265  527  340  1206  152 
1 154 1 1 3 4 2 5 6 7 8  8628  567  3390  340  678  452  227  227 
1 155 1 1 2 3 4 5 7 6 8  342  452  603  302  2486  198  1017  227 
1 156 1 1 2 3 4 5 6 7 8  1697  377  302  377  1291  4407  527  152 
1 157 1 1 2 3 4 7 6 5 8  418  265  950  377  1281  415  1205  377 
1 158 1 1 2 3 4 5 6 8 7  832  190  377  340  1695  340  716  302 
1 159 1 1 2 3 4 5 6 7 8  343  377  377  565  1168  1959  340  190 
1 160 1 1 2 7 3 5 6 8 4  983  1281  1205  678  1469  302  1657  1055 
1 161 1 1 2 8 3 5 6 7 8  2393  2335  4369  265  1733  302  394  377 
1 162 1 1 2 3 4 5 6 8 7  832  1318  415  716  4746  565  1356  340 
1 163 1 1 2 3 4 5 8 6 7  720  452  883  716  3013  2300  1318  979 
1 164 1 1 2 8 3 4 5 7 6  852  640  1055  1017  1205  1206  227  190 
1 165 1 1 2 3 4 5 7 6 8  1443  565  415  388  490  377  640  279 
1 166 1 1 2 3 4 6 5 8 7  681  641  603  527  3051  1205  377  716 
1 167 1 1 3 2 4 5 6 7 8  8025  323  452  415  791  340  753  829 
1 168 1 1 2 3 4 5 6 7 8  1133  377  490  340  904  415  340  265 
1 169 1 1 2 3 4 5 7 6 8  1208  265  716  302  3329  678  904  527 
1 170 1 1 2 3 4 5 6 7 8  531  490  302  265  565  452  1657  279 
1 171 1 1 2 3 4 5 6 8 7  962  227  190  227  4633  163  157  223 
1 172 1 1 3 2 4 5 7 6 8  771  490  377  415  1093  415  340  415 
1 173 1 1 2 3 4 5 7 6 8  1887  265  302  565  1394  340  641  194 
1 174 1 1 2 3 4 7 5 6 8  719  340  415  640  1657  377  265  415 
1 175 1 1 2 3 4 5 6 7 8  681  415  377  452  754  1770  302  123 
1 176 1 1 2 5 4 8 3 7 6  719  415  766  452  980  640  754  190 
1 177 1 1 2 3 4 5 6 7 8  720  415  452  452  1017  340  1367  2561 
1 178 1 1 5 3 4 5 6 8 7  1627  415  415  490  417  490  6704  302 
1 179 1 1 8 7 4 5 6 7 8  2941  1695  716  431  1733  640  3842  490 
1 180 1 1 2 3 4 5 6 1 8  456  227  227  227  603  190  1394  3369 
1 181 1 1 2 3 4 7 5 6 8  737  1168  377  311  1921  340  641  490 
1 182 1 1 2 3 5 4 8 7 6  606  190  302  340  1883  302  640  452 
1 183 1 1 2 3 4 8 6 7 5  1472  415  190  190  2712  377  980  190 
1 184 1 1 2 3 4 5 6 7 8  757  190  265  265  4444  265  340  1168 
1 185 1 1 2 3 4 5 6 7 8  4636  415  980  302  3616  452  340  527 
1 186 1 1 2 3 7 5 6 8 4  606  227  565  527  1469  415  867  190 
1 187 1 2 1 3 4 5 7 6 8  1133  302  2298  431  1695  452  3654  302 
1 188 1 1 2 3 4 6 5 7 8  606  415  452  527  7533  265  302  303 
1 189 1 1 2 5 4 3 8 6 7  870  942  2373  538  4332  527  603  603 
1 190 1 4 8 1 7 5 6 3 2  4109  565  3315  302  829  565  2335  265 
1 191 1 1 2 3 4 5 7 6 8  699  1406  904  340  2411  640  980  377 
1 192 1 1 2 3 8 5 6 4 7  418  340  527  377  613  415  1733  227 
1 193 1 3 5 1 4 7 6 5 8  2339  2185  452  452  3013  490  452  350 
1 194 1 1 2 3 4 5 6 7 8  645  1205  452  302  2034  340  1206  377 
1 195 1 1 2 3 4 5 6 8 7  607  565  490  415  490  913  527  2034 
1 196 1 1 2 4 3 5 6 7 8  1585  265  490  377  2980  227  791  340 
1 197 1 1 2 3 4 5 7 6 8  870  603  1281  490  1582  527  829  340 
1 198 1 1 2 3 4 5 6 7 8  2753  302  4570  678  1394  613  317  153 
1 199 1 1 2 3 4 7 5 6 8  569  415  452  490  3541  565  904  377 
1 200 1 1 2 3 4 5 6 7 8  305  452  377  415  377  452  415  544 
2 1 0 1 2 3 4 5 6 7 8  1786  311  452  640  415  1694  340  265 
2 2 0 1 2 6 4 8 3 7 5  1473  340  340  3312  1957  392  489  2672 
2 3 0 1 2 3 4 5 7 8 6  1438  640  1092  417  1468  2258  377  791 
2 4 0 1 2 3 4 5 6 7 8  1363  452  640  414  415  1731  340  302 
2 5 0 1 2 3 4 5 6 8 7  1626  903  753  302  414  1957  690  265 
2 6 0 1 2 3 4 5 6 7 8  1367  565  640  791  1129  1920  303  303 
2 7 0 1 2 3 4 5 6 7 8  1701  302  602  791  1731  1167  265  340 
2 8 0 1 2 3 4 5 6 7 8  1964  527  1355  1995  678  1769  791  415 
2 9 0 1 2 3 4 5 6 7 8  1513  265  866  340  340  2522  415  489 
2 10 0 1 2 3 4 5 6 7 8  1814  340  715  753  828  979  1920  115 
2 11 0 1 2 3 4 5 6 7 8  1455  340  904  452  828  377  1694  115 
2 12 0 1 2 3 4 5 6 7 8  2041  979  415  414  265  1506  866  227 
2 13 0 1 2 3 4 5 6 7 8  1112  302  828  414  265  3275  190  265 
2 14 0 1 2 3 4 5 6 7 8  1664  265  340  527  1092  1667  265  415 
2 15 0 1 2 3 4 5 6 7 8  1401  529  377  265  527  1845  227  573 
2 16 0 1 2 3 4 5 6 7 8  1476  489  414  415  2146  314  265  302 
2 17 0 1 2 3 4 5 8 6 7  1401  265  377  1092  537  2183  753  227 
2 18 0 1 2 3 4 5 7 6 8  1401  227  265  791  1296  1845  190  302 
2 19 0 1 2 3 4 5 6 7 8  1890  340  317  231  377  1995  801  265 
2 20 0 1 2 3 4 5 6 7 8  1363  377  415  265  377  1920  452  489 
2 21 0 1 2 3 4 5 6 7 8  1230  340  979  340  302  1108  602  227 
2 22 0 1 2 3 4 5 8 6 7  1815  302  415  490  340  2372  753  377 
2 23 0 1 2 3 4 5 8 7 6  1439  340  1017  265  340  3463  726  161 
2 24 0 1 2 3 4 5 6 7 8  1740  452  377  414  415  3049  565  265 
2 25 0 1 2 3 4 5 6 7 8  2079  415  452  415  340  302  2447  791 
2 26 0 1 2 3 7 4 5 6 8  1025  302  1506  2823  565  686  1581  657 
2 27 0 1 2 3 4 5 6 7 8  1299  726  489  302  452  1845  265  678 
2 28 0 1 4 7 2 3 6 5 8  1138  489  1355  452  602  2861  1243  340 
2 29 0 1 2 3 4 5 6 7 8  1327  415  527  981  565  2522  265  227 
2 30 0 1 2 3 4 5 7 8 6  2004  279  603  377  1130  3815  227  302 
2 31 0 1 2 3 4 5 6 7 8  1118  414  1069  302  415  1769  489  190 
2 32 0 1 2 3 4 5 7 6 8  1741  302  527  415  302  1958  227  265 
2 33 0 1 2 3 4 5 6 7 8  1139  489  1295  527  452  2710  678  340 
2 34 0 1 2 3 5 6 8 4 7  1440  242  302  4028  407  2493  302  678 
2 35 0 3 1 2 4 5 6 7 8  2080  377  602  753  452  1167  414  603 
2 36 0 1 2 4 5 3 6 7 8  1854  415  1468  1544  2974  2606  904  190 
2 37 0 1 2 3 4 5 6 7 8  1741  527  304  603  340  1995  190  265 
2 38 0 1 2 6 7 5 3 8 4  1704  415  3652  350  1242  1920  227  340 
2 39 0 1 2 3 4 5 6 7 8  1101  415  462  265  678  2259  1318  152 
2 40 0 1 2 3 4 5 7 6 8  2231  302  377  828  277  3802  415  565 
2 41 0 1 2 3 4 5 8 6 7  1457  340  640  227  302  2410  1586  190 
2 42 0 1 2 3 4 5 6 7 8  1666  377  716  415  377  1772  753  227 
2 43 0 1 2 3 4 5 8 7 6  725  1205  377  302  866  2108  715  265 
2 44 0 1 2 3 4 5 6 7 8  1177  603  490  527  490  4028  678  227 
2 45 0 1 2 3 4 5 7 6 -9  4151  1027  3200  527  1657  340  1167  490 
2 46 0 2 1 4 6 7 5 8 3  6147  1167  4141  1280  791  2221  565  302 
2 47 0 1 2 3 4 5 7 8 6  1290  302  1506  340  302  2372  348  791 
2 48 0 1 2 3 4 5 6 7 8  1591  340  415  753  452  1732  452  394 
