1 1 3 2 4 8 7 5 6  1336  564  639  677  1691  789  1211  451 0 0 0 0  2088  634  709  523 
1 1 6 3 4 5 8 2 7  1524  302  489  1165  2894  414  677  302 0 0 0 1  1910  822  709  559 
1 4 5 2 1 6 3 7 8  14302  564  489  2969  940  3691  526  339 0 0 0 0  2426  709  822  559 
1 1 2 3 4 7 5 6 8  1484  264  752  528  3946  865  414  752 0 0 0 0  1562  521  634  559 
1 1 2 3 4 7 5 8 6  1149  377  489  377  2894  4623  526  239 0 0 0 0  1750  634  634  859 
1 1 2 3 4 7 6 5 8  1784  264  639  414  3533  227  526  752 0 0 0 0  2141  521  596  634 
1 1 2 3 4 8 6 5 7  3290  940  564  339  1658  2029  1842  1130 0 0 0 0  2818  672  596  634 
1 1 2 3 4 6 5 7 8  1562  414  414  414  2029  865  687  264 0 0 0 0  2012  671  634  521 
1 1 2 3 4 7 8 5 6  1487  451  1391  601  1917  451  564  339 0 0 0 0  2011  596  596  559 
1 1 4 3 2 5 6 7 8  1787  1391  677  1015  1128  2743  454  1992 0 0 0 0  1711  596  559  709 
1 1 2 3 4 5 6 7 8  1487  339  677  451  601  489  752  451 0 0 0 1  1899  596  671  596 
1 1 2 3 4 5 6 7 8  1524  489  789  339  1015  306  2443  227 0 0 0 0  2274  1047  709  709 
1 1 2 3 4 5 8 7 6  1726  339  714  902  752  2894  601  302 0 0 0 0  1751  1385  671  935 
1 1 2 3 4 7 6 8 5  810  264  564  227  2818  451  865  227 0 0 0 0  1260  2062  521  558 
1 1 2 3 4 5 8 7 6  1424  564  1390  865  387  3457  526  190 0 0 0 0  1636  746  634  596 
1 1 2 3 4 5 7 6 8  1487  414  503  414  339  1165  789  789 0 0 0 0  1726  596  596  709 
1 1 2 3 4 5 1 6 8  1411  430  264  451  827  2104  4697  302 0 0 0 0  1635  559  1197  634 
1 1 3 2 4 5 8 6 7  1558  414  3156  1015  762  2405  227  227 0 0 0 0  2462  1009  634  934 
1 1 2 3 4 7 6 8 5  1637  881  601  639  2442  1015  940  264 0 0 0 0  2011  634  559  972 
1 1 2 3 4 5 6 7 8  3590  451  789  451  677  2630  279  237 0 0 0 0  1560  634  671  1047 
1 1 2 3 4 5 6 7 8  1186  414  376  339  451  3720  451  601 0 0 0 0  1222  671  1197  634 
1 1 2 3 4 5 6 8 7  1600  489  489  414  2931  3307  1092  1553 0 0 0 0  2686  671  897  671 
1 1 2 3 4 5 6 8 7  1223  526  376  347  489  3307  264  339 0 0 0 0  2123  1402  596  709 
1 1 2 3 4 5 7 6 8  1711  376  687  639  1090  2029  489  526 0 0 0 0  1748  596  671  1009 
1 1 2 3 4 5 6 8 7  1561  526  601  877  939  3232  451  564 0 0 0 0  1334  784  821  784 
1 1 2 3 4 5 8 6 7  1334  376  564  339  414  3457  564  677 0 0 0 0  1725  523  484  559 
1 1 3 2 4 5 7 6 8  1637  414  827  639  564  2630  603  2743 0 0 0 0  1484  726  596  596 
