4 1 2 3 4 6 5 7  1338  152  277  265  4743  452  227 0 0 0 0  863  1429  446  409 
4 1 2 3 4 5 6 7  772  265  415  377  1995  115  190 0 0 0 0  1050  449  446  522 
4 1 2 3 4 5 6 7  1188  302  452  302  1259  415  979 0 0 0 0  2970  484  1312  1314 
4 1 2 5 4 3 6 7  2694  115  1962  302  302  265  340 0 0 0 0  1766  484  1839  1124 
4 1 2 3 4 5 6 7  924  340  498  377  2409  603  82 0 0 0 0  787  484  485  484 
4 1 2 3 4 5 6 7  623  265  190  340  377  190  527 0 0 0 0  1465  635  1124  559 
4 1 2 3 4 5 6 7  2881  3351  500  190  1146  527  419 0 0 0 0  918  4588  1539  673 
4 1 2 3 4 5 6 7  586  340  340  678  1017  565  640 0 0 0 0  788  484  484  597 
4 1 2 3 4 5 6 7  3672  340  350  490  2598  1280  640 0 0 0 0  3837  861  522  522 
4 1 2 3 4 5 6 7  1301  350  340  340  715  527  753 0 0 0 0  1239  446  635  522 
4 1 2 3 4 5 6 7  2731  190  415  236  2711  190  169 0 0 0 0  900  597  2969  597 
4 1 2 3 4 5 6 7  2280  302  227  227  265  227  1054 0 0 0 0  3722  446  484  1086 
4 1 2 3 4 5 6 7  623  227  377  452  791  415  941 0 0 0 0  1615  484  484  635 
4 1 2 3 4 5 6 7  2430  387  791  527  688  153  565 0 0 0 0  1503  522  974  672 
4 1 2 3 4 5 6 7  1112  377  302  489  2334  415  415 0 0 0 0  1088  3910  2270  522 
4 1 2 3 4 5 6 7  1527  340  1657  302  4066  394  2560 0 0 0 0  1202  409  447  447 
4 1 2 3 4 5 6 7  1000  227  415  340  377  340  941 0 0 0 0  1444  559  409  484 
4 1 2 3 4 5 6 7  811  415  1130  640  866  527  82 0 0 0 0  1013  446  447  484 
4 1 2 3 4 5 6 7  661  603  640  979  2937  527  791 0 0 0 0  2707  522  447  484 
4 1 2 3 4 5 6 7  1075  377  227  265  1431  1205  678 0 0 0 0  1089  672  710  597 
4 1 2 3 4 5 6 7  1981  265  340  340  490  152  340 0 0 0 0  1126  1087  559  597 
4 1 2 3 4 5 6 7  1150  302  313  265  753  265  377 0 0 0 0  1051  785  1727  484 
4 1 2 3 4 5 6 7  962  190  1582  152  1694  377  377 0 0 0 0  1580  3701  409  447 
4 1 2 3 4 5 6 7  699  715  716  498  565  377  377 0 0 0 0  1691  710  559  522 
4 1 2 3 4 5 7 6  2354  302  265  302  1280  640  1017 0 0 0 0  1390  1162  522  597 
