id,group,sex,age,session,memo,example,con,nblock,n,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,in_pos,in_nr,pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,1,24,1,1,0,1,2,5,6,4,12,29,1,1,1,5,5,4,4, ,475,1,0,475,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,6,5,12,30,1,1,1,8,8,5,5, ,413,1,0,413,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,7,1,12,31,1,2,1,6,1,1,1,149,656,0,2,656,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,7,2,12,32,1,1,1,4,4,2,2, ,511,1,0,511,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,7,3,12,33,1,2,1,5,3,3,3, ,501,0,1,501,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,7,4,12,34,1,2,1,3,7,4,4, ,671,0,2,671,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,7,5,12,35,1,2,1,9,2,5,5, ,724,0,2,724,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,8,1,12,36,1,1,1,7,7,1,1,119,820,1,0,820,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,8,2,12,37,1,1,1,4,4,2,2, ,493,1,0,493,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,8,3,12,38,1,1,1,9,9,3,3, ,431,1,0,431,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,8,4,12,39,1,1,1,2,2,4,4, ,361,1,0,361,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,8,5,12,40,1,2,1,1,8,5,5, ,555,0,2,555,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,9,1,12,41,1,1,1,7,7,1,1,128,547,1,0,547,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,9,2,12,42,1,1,1,9,9,2,2, ,466,1,0,466,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,9,3,12,43,1,1,1,4,4,3,3, ,396,1,0,396,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,9,4,12,44,1,1,1,6,6,4,4, ,351,1,0,351,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,9,5,12,45,1,2,1,5,3,5,5, ,529,0,2,529,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,10,1,12,46,1,2,1,4,7,1,1,319,615,0,2,615,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,10,2,12,47,1,1,1,6,6,2,2, ,581,1,0,581,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,10,3,12,48,1,2,1,2,6,3,3, ,528,0,1,528,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,10,4,12,49,1,1,1,9,9,4,4, ,546,1,0,546,561.555555555556,133.348603292273,961.601365432375,2
