id,group,sex,age,session,memo,con,nblock,n,example,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,22,1,1,4,1,3,0,20,1,20,58,2,1,1,8,2,3,1307,1810,0,1,1810,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,1,3,0,20,2,20,59,2,2,1,2,8,1, ,692,1,0,692,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,1,3,0,20,3,20,60,2,2,1,6,2,2, ,597,1,0,597,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,1,2,4,0,1,1,15,1,2,2,1,3,3,1,1517,971,1,0,971,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,2,4,0,1,2,15,2,2,1,1,4,7,2, ,510,0,2,510,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,1,3,15,3,2,1,1,2,7,3, ,562,0,2,562,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,1,4,15,4,2,1,1,8,6,4, ,546,0,2,546,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,4,2,4,0,2,1,15,5,2,1,1,6,3,4,867,2352,0,1,2352,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,2,4,0,2,2,15,6,2,2,1,3,6,1, ,840,1,0,840,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,2,3,15,7,2,1,1,7,6,2, ,660,0,1,660,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,2,4,0,2,4,15,8,2,2,0,5,5,3, ,2078,0,1, ,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,3,2,4,0,3,1,15,9,2,1,1,1,9,4,474,958,0,1,958,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,3,2,15,10,2,1,1,9,8,3, ,1034,0,1,1034,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,3,3,15,11,2,1,1,2,7,2, ,751,0,2,751,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,3,4,15,12,2,1,1,8,6,1, ,718,0,2,718,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,1,2,4,0,4,1,15,13,2,1,1,4,2,1,454,2602,0,1,2602,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,4,2,15,14,2,1,1,3,9,2, ,1545,0,2,1545,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,4,3,15,15,2,1,1,8,2,3, ,1146,0,1,1146,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,4,4,15,16,2,2,1,2,2,4, ,750,1,0,750,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,4,2,4,0,5,1,15,17,2,1,1,7,9,2,678,1665,0,1,1665,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,2,4,0,5,2,15,18,2,1,1,8,7,3, ,1973,0,1,1973,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,2,4,0,5,3,15,19,2,2,1,4,9,4, ,714,1,0,714,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,5,4,15,20,2,1,1,9,1,1, ,1244,0,2,1244,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,3,2,4,0,6,1,15,21,2,2,1,4,7,4,572,681,1,0,681,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,2,4,0,6,2,15,22,2,2,1,2,8,3, ,2269,1,0,2269,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,2,4,0,6,3,15,23,2,2,1,8,2,2, ,501,1,0,501,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,2,4,0,6,4,15,24,2,2,1,7,4,1, ,435,1,0,435,885.122222222222,494.309888423,2368.05188749122,4
