id,group,sex,age,session,memo,example,con,nblock,n,trial,out_nr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,21,1,1,0,1,2,5,1,1,12,1,1,1,1,2,2,1,958,912,1,0,912,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,1,2,12,2,1,1,1,4,4,2, ,501,1,0,501,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,1,3,12,3,1,2,1,9,8,3, ,512,0,2,512,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,1,4,12,4,1,2,1,1,2,4, ,1094,0,1,1094,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,1,5,12,5,1,1,1,5,5,5, ,893,1,0,893,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,2,1,12,6,1,2,1,1,4,1,1471,686,0,1,686,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,2,2,12,7,1,2,1,9,8,2, ,607,0,2,607,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,2,3,12,8,1,2,1,4,6,3, ,748,0,2,748,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,2,4,12,9,1,2,1,5,3,4, ,667,0,2,667,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,2,5,12,10,1,1,1,7,7,5, ,671,1,0,671,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,3,1,12,11,1,2,1,8,1,1,1085,769,0,2,769,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,3,2,12,12,1,2,1,2,5,2, ,495,0,1,495,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,3,3,12,13,1,2,1,7,6,3, ,1083,0,2,1083,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,3,4,12,14,1,1,1,5,5,4, ,542,1,0,542,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,3,5,12,15,1,2,1,9,5,5, ,609,0,1,609,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,4,1,12,16,1,1,1,5,5,1,2459,749,1,0,749,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,4,2,12,17,1,2,1,9,6,2, ,766,0,1,766,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,4,3,12,18,1,2,1,6,3,3, ,639,0,2,639,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,4,4,12,19,1,1,1,8,8,4, ,792,1,0,792,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,4,5,12,20,1,1,1,2,2,5, ,707,1,0,707,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,5,1,12,21,1,1,1,2,2,1,1645,810,1,0,810,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,5,2,12,22,1,2,1,3,7,2, ,601,0,2,601,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,5,3,12,23,1,1,1,6,6,3, ,567,1,0,567,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,5,4,12,24,1,1,1,1,1,4, ,516,1,0,516,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,5,5,12,25,1,2,1,8,6,5, ,539,0,1,539,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,6,1,12,26,1,1,1,9,9,1,1657,632,1,0,632,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,6,2,12,27,1,2,1,3,7,2, ,535,0,2,535,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,6,3,12,28,1,2,1,4,2,3, ,583,0,2,583,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,6,4,12,29,1,2,1,1,2,4, ,529,0,2,529,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,6,5,12,30,1,1,1,8,8,5, ,486,1,0,486,644.477777777778,165.846770200741,1142.01808838,1
