PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P4 BSEP,,,,,,,,,,,,,,,,,,,
AGE:,21,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
Sentences: ,The big noisy dog chased the cat,When it is dark we can see stars at night,,,,,,,,,,,,,,,,,,
Presentation Time:,3.066667,3.266667,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,fire,bricks,,,,,1,1,,,,1,,,,,,,,
Response:,fire,bricks,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,When he did the trick the magician waved his magic wand,My nice white teeth are in my mouth,,,,,,,,,,,,,,,,,,
Presentation Time:,3.633333,2.583333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,eyes,seek,,,,,1,1,,,,1,,,,,,,,
Response:,eyes,seek,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,Jane went to the baker who made a loaf of bread,The snail lost the race because it is very slow,A giraffe is an animal with a long neck,,,,,,,,,,,,,,,,,
Presentation Time:,3.266667,2.7,2.566667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,chair,star,asleep,,,,1,1,1,,,1,,,,,,,,
Response:,chair,star,asleep,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The number after two and three is four,The clown had a big smiling face,The farmer and his sheep and pigs live on a farm,,,,,,,,,,,,,,,,,
Presentation Time:,4.05,2.466667,3,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,glass,goal,good,,,,0,0,1,,,0,,,,,,,,
Response:,dk,glass,good,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Jim sometimes goes out to eat fish and chips,On my hand I have four fingers and one thumb,The sky on a sunny day is coloured blue,,,,,,,,,,,,,,,,,
Presentation Time:,3.2,3,2.716667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,legs,bus,listen,,,,1,0,1,,,0,,,,,,,,
Response:,legs,blue,listen,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,01-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,Ben ran faster so that he could win the race,While I was sleeping I had a strange dream,If I am cold on my hands I should wear my gloves,Daffy is a duck and Snoopy is a dog,,,,,,,,,,,,,,,,
Presentation Time:,2.983333,2.55,3.133333,2.783333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,drink,cold,rope,teeth,,,1,1,0,0,,0,,,,,,,,
Response:,drink,cold,dk,rope,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Robin likes to spend all of his money at a sweet shop,Around the track and 'choo choo' goes the train,I blew the candles out on my birthday cake,If I don't have a coat and it rains I will get wet,,,,,,,,,,,,,,,,
Presentation Time:,3.933333,2.666667,2.883333,2.933333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,tail,hands,brush,door,,,0,0,1,1,,0,,,,,,,,
Response:,train,dk,brush,door,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,If my hair gets too long I have it cut,Birds flap and flap their wings to fly,I went to the swimming pool with Dad to swim,The next number after one and two is three,,,,,,,,,,,,,,,,
Presentation Time:,2.566667,2.683333,2.833333,2.733333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,laugh,fork,feet,green,,,1,1,1,1,,1,,,,,,,,
Response:,laugh,fork,feet,green,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,37315,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,If it is cold I put a hat on my head,The leaves grow in the big tall trees,At night time I go to sleep in my bed,An elephant's long nose is called a trunk,In the middle of a fire it feels very hot,,,,,,,,,,,,,,,
Presentation Time:,3.533333,2.45,2.533333,2.733333,3.083333,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,cow,egg,grow,kittens,book,,0,0,0,1,1,0,,,,,,,,
Response:,dk,dk,cow,kittens,book,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,A dog is an animal and a robin is a bird,Snow is very cold and the colour white,At lunchtime I cut my food with a knife,An important woman with a crown is called a queen,'Quack quack' said the mother to the little duck,,,,,,,,,,,,,,,
Presentation Time:,3.35,2.766667,2.833333,3.15,2.7,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,hill,short,nose,grass,yellow,,0,0,0,0,1,0,,,,,,,,
Response:,dk,dk,grass,nose,yellow,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,To see in the dark you can turn on a light,The post box on the street is coloured red,He rowed across the river in a rowing boat,I put on my helmet and went for a bicycle ride,On the pirate ship they found silver and gold,,,,,,,,,,,,,,,
Presentation Time:,3.183333,2.733333,2.833333,3.416667,2.75,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,snow,five,hair,film,milk,,0,0,0,0,0,0,,,,,,,,
Response:,hair,snow,dk,dk,gold,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,0/3,,,,,,,,,,,,,,,,,,,
